"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"279","hippuric_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"291","3-feruloylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"292","5-feruloylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"299","4-hydroxybenzaldehyde","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Aryl-aldehydes","Benzaldehydes"
"302","n-(3,5-dihydroxybenzoyl)glycine","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"310","n-acetyl-s-methylcysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"321","2-amino-1,6-dimethylimidazo[4,5-b]pyridine_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives","Glucuronides"
"322","ergothioneine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives"
"334","3,4-dicaffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"335","4,5-dicaffeoylquinic_acid","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives"
"339","phenylacetylglycine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"347","ethylgallate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives","Galloyl esters"
"358","luteolin_7-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides"
"359","isorhamnetin_3-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-3-O-glucuronides"
"371","epigallocatechin-3-gallate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","Catechin gallates"
"384","3-hydroxyhippuric_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"386","delphinidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
"392","epigallocatechin","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","Epigallocatechins"
"396","phenylalanine_betaine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives"
"397","pipecolic_acid_betaine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids"
"406","2-hydroxybenzoic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Salicylic acid and derivatives","Salicylic acids"
"415","cyanidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
"418","s-allylcysteine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Cysteine and derivatives"
"423","4-hydroxyhippuric_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzamides","Hippuric acids and derivatives","Hippuric acids"
"429","epigallocatechin_3-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-3-O-glucuronides"
"435","peonidin_3-glucoside","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides"
