"MetaboliteName","FBOnto","HMDB","KEGG","ChEBI","PubChem_CID","InChIKey","InChI_Code","ChemSpider"
"1-methyluric acid","FB_030659","HMDB03099","C16359","CHEBI:68441","69726","QFDRTQONISXGJA-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)","62926"
"1-methylxanthine","FB_030652","HMDB10738","C16358","CHEBI:68444","80220","MVOYJPOZRLFTCP-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)","72464"
"2,3-dihydroxybenzoic acid 2-glucuronide","FB_08667",NA,NA,NA,NA,"ZZTMNRLDFVIBTG-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-5-3-1-2-4(11(18)19)9(5)22-13-8(17)6(15)7(16)10(23-13)12(20)21/h1-3,6-8,10,13-17H,(H,18,19)(H,20,21)",NA
"2,3-dihydroxybenzoic acid 3-glucuronide","FB_08668",NA,NA,NA,NA,"WEIFSGICBUHQQV-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-4(11(18)19)2-1-3-5(6)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2,3-dihydroxybenzoic acid 3-sulfate","FB_08673",NA,NA,NA,NA,"QDPNFTHYUAKYKM-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-4(7(9)10)2-1-3-5(6)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"2,4,6-trihydroxybenzaldehyde","FB_030456",NA,NA,NA,"68099","BTQAJGSMXCDDAJ-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-3-5-6(10)1-4(9)2-7(5)11/h1-3,9-11H","61408"
"2,4-dihydroxy-1,4-benzoxazin-3-one","FB_030732",NA,"C15770","CHEBI:63558","28495","COVOPZQGJGUPEY-UHFFFAOYSA-N","InChI=1S/C8H7NO4/c10-7-8(11)13-6-4-2-1-3-5(6)9(7)12/h1-4,8,11-12H","26511"
"2,4-dihydroxy-1,4-benzoxazin-3-one glucuronide","FB_030734",NA,NA,NA,NA,NA,NA,NA
"2,4-dihydroxy-1,4-benzoxazin-3-one sulfate","FB_030735",NA,NA,NA,NA,NA,NA,NA
"2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one","FB_030736",NA,"C04720","CHEBI:18048","2358","GDNZNIJPBQATCZ-UHFFFAOYSA-N","InChI=1S/C9H9NO5/c1-14-5-2-3-6-7(4-5)15-9(12)8(11)10(6)13/h2-4,9,12-13H,1H3",NA
"2,4-dihydroxybenzoic acid","FB_030327",NA,NA,NA,"1491","UIAFKZKHHVMJGS-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)","1446"
"2,4-dihydroxybenzoic acid 2-glucuronide","FB_08669",NA,NA,NA,NA,"JRPJGICIYUNHQW-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-4-1-2-5(11(18)19)6(3-4)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2,4-dihydroxybenzoic acid 4-glucuronide","FB_08670",NA,NA,NA,NA,"HTVZPXVZCIIMAA-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-3-4(1-2-5(6)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2,4-dihydroxybenzoic acid 4-sulfate","FB_08674",NA,NA,NA,NA,"DRJRXXDGTMEQKU-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-3-4(14-15(11,12)13)1-2-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"2,5-dihydroxybenzoic acid 5-sulfate","FB_08675",NA,NA,NA,"54473656","XKAUVSKGVSQBFW-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-6-2-1-4(14-15(11,12)13)3-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"2,6-dihydroxybenzoic acid","FB_030328",NA,NA,"CHEBI:68465","9338","AKEUNCKRJATALU-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",NA
"2,6-dihydroxybenzoic acid 2-glucuronide","FB_08671",NA,NA,NA,NA,"YMTKHYRBSOTLTP-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-4-1-2-6(5(3-4)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2,6-dihydroxybenzoic acid 6-glucuronide","FB_08672",NA,NA,NA,NA,"BCTCNBZWJFQHRF-UHFFFAOYSA-N","InChI=1S/C13H14O10/c14-6-2-1-4(3-5(6)11(18)19)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)",NA
"2-amino-1,6-dimethylimidazo[4,5-b]pyridine glucuronide","FB_030670",NA,NA,NA,NA,"SQVPGYDPSLNFET-KSXIZUIISA-N","InChI=1S/C19H20N4O6/c1-23-11-7-10(9-5-3-2-4-6-9)8-20-16(11)21-19(23)22-17-14(26)12(24)13(25)15(29-17)18(27)28/h2-8,12-15,17,24-26H,1H3,(H,27,28)(H,20,21,22)/t12-,13-,14+,15-,17+/m0/s1",NA
"2-aminophenol","FB_030671",NA,"C01987","CHEBI:18112","5801","CDAWCLOXVUBKRW-UHFFFAOYSA-N","InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2","11613535 | 14598679"
"2-aminophenol glucuronide","FB_030672",NA,NA,NA,"85208","ZVFVTBSWJWONEI-GOVZDWNOSA-N","InChI=1S/C12H15NO7/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12,14-16H,13H2,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1","76843"
"2-aminophenol sulfate","FB_030673",NA,NA,NA,"181670","VSTZVCJQGSLNLL-UHFFFAOYSA-N","InChI=1S/C6H7NO4S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4H,7H2,(H,8,9,10)",NA
"2-benzoxazolinone","FB_030724",NA,NA,NA,"6043","ASSKVPFEZFQQNQ-UHFFFAOYSA-N","InChI=1S/C7H5NO2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)","10610280 | 13756559"
"2-hydroxy-1,4-benzoxazin-3-one","FB_030726",NA,"C15769","CHEBI:63559","322636","VMQBFYRBJKDACN-UHFFFAOYSA-N","InChI=1S/C8H7NO3/c10-7-8(11)12-6-4-2-1-3-5(6)9-7/h1-4,8,11H,(H,9,10)","285673"
"2-hydroxy-1,4-benzoxazin-3-one glucuronide","FB_030728",NA,NA,NA,NA,NA,NA,NA
"2-hydroxy-1,4-benzoxazin-3-one sulfate","FB_030729",NA,NA,NA,NA,NA,NA,NA
"2-hydroxy-7-methoxy-1,4-benzoxazin-3-one","FB_030730",NA,NA,NA,"152213","NDEPTLCFICMYLH-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c1-13-5-2-3-6-7(4-5)14-9(12)8(11)10-6/h2-4,9,12H,1H3,(H,10,11)","134162"
"2-hydroxybenzoic acid","FB_030318","HMDB01895","C00805 | D00097","CHEBI:16914","338","YGSDEFSMJLZEOE-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)","14879126 | 16373679 | 331"
"2-hydroxybenzoic acid glucuronide","FB_030321","HMDB10313",NA,"CHEBI:73961","3084023","JSCWDKKMLIQCMR-CDHFTJPESA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-4-2-1-3-5(6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)/t7-,8-,9+,10-,13+/m0/s1","2341148"
"2-hydroxybenzoic acid sulfate","FB_030324",NA,NA,NA,"10198308","MOODSJOROWROTO-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-3-1-2-4-6(5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)","8373808"
"2-hydroxyphenylacetic acid","FB_030368","HMDB00669","C05852","CHEBI:28478","11970","CCVYRRGZDBSHFU-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","14600741"
"2-hydroxyphenylacetic acid glucuronide","FB_030371",NA,NA,NA,NA,NA,NA,NA
"2-hydroxyphenylacetic acid sulfate","FB_030374",NA,NA,NA,NA,NA,NA,NA
"2-methylpyrogallol","FB_030438",NA,NA,NA,"121805","QFYYAIBEHOEZKC-UHFFFAOYSA-N","InChI=1S/C7H8O3/c1-10-7-5(8)3-2-4-6(7)9/h2-4,8-9H,1H3",NA
"2-methylpyrogallol 1-glucuronide","FB_08697",NA,NA,NA,NA,"PCYIQKIPHUBFMX-JDQAZDLZSA-N","InChI=1S/C13H16O9/c1-20-10-5(14)3-2-4-6(10)21-13-9(17)7(15)8(16)11(22-13)12(18)19/h2-4,7-9,11,13-17H,1H3,(H,18,19)/t7-,8-,9+,11-,13+/m0/s1",NA
"2-methylpyrogallol 1-sulfate","FB_08700",NA,NA,NA,"122164840","ARLAWMCEVZUXEY-UHFFFAOYSA-N","InChI=1S/C7H8O6S/c1-12-7-5(8)3-2-4-6(7)13-14(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one","FB_030727",NA,NA,NA,"14605137","PYQSUTLVBSTCSK-BJPDSMLBSA-N","InChI=1S/C14H17NO8/c16-5-8-9(17)10(18)11(19)13(22-8)23-14-12(20)15-6-3-1-2-4-7(6)21-14/h1-4,8-11,13-14,16-19H,5H2,(H,15,20)/t8-,9-,10+,11-,13+,14?/m1/s1",NA
"2-β-d-glucopyranosyloxy-4-hydroxy-1,4-benzoxazin-3-one","FB_030733",NA,"C15772","CHEBI:80091","5316752","OUSLYTBGQGKTME-BJPDSMLBSA-N","InChI=1S/C14H17NO9/c16-5-8-9(17)10(18)11(19)13(23-8)24-14-12(20)15(21)6-3-1-2-4-7(6)22-14/h1-4,8-11,13-14,16-19,21H,5H2/t8-,9-,10+,11-,13+,14?/m1/s1","4475737"
"2-β-d-glucopyranosyloxy-4-hydroxy-7-methoxy-1,4-benzoxazin-3-one","FB_030737",NA,"C04831","CHEBI:16603","11132470","WTGXAWKVZMQEDA-XGHDNVSXSA-N","InChI=1S/C15H19NO10/c1-23-6-2-3-7-8(4-6)24-15(13(21)16(7)22)26-14-12(20)11(19)10(18)9(5-17)25-14/h2-4,9-12,14-15,17-20,22H,5H2,1H3/t9-,10-,11+,12-,14+,15?/m1/s1","9307589"
"2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one","FB_030731",NA,NA,NA,"161229","PMBZSEOAOIYRMW-XGHDNVSXSA-N","InChI=1S/C15H19NO9/c1-22-6-2-3-7-8(4-6)23-15(13(21)16-7)25-14-12(20)11(19)10(18)9(5-17)24-14/h2-4,9-12,14-15,17-20H,5H2,1H3,(H,16,21)/t9-,10-,11+,12-,14+,15?/m1/s1",NA
"3-(3,5-dihydroxyphenyl)propionic acid","FB_030419",NA,NA,NA,"161525","ITPFIKQWNDGDLG-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h3-5,10-11H,1-2H2,(H,12,13)",NA
"3-(3,5-dihydroxyphenyl)propionic acid glucuronide","FB_030420",NA,NA,NA,NA,"IITQLVPAMWYCDQ-DKBOKBLXSA-N","InChI=1S/C15H18O10/c16-7-3-6(1-2-9(17)18)4-8(5-7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h3-5,10-13,15-16,19-21H,1-2H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1",NA
"3-(3,5-dihydroxyphenyl)propionic acid sulfate","FB_030421",NA,NA,NA,NA,"WEPNMLSXEATIJK-UHFFFAOYSA-N","InChI=1S/C9H10O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)",NA
"3-(3-hydroxyphenyl)-3-hydroxypropionic acid","FB_030431","HMDB02643",NA,NA,"102959","KHTAGVZHYUZYMF-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-1-2-6(4-7)8(11)5-9(12)13/h1-4,8,10-11H,5H2,(H,12,13)","93013"
"3-(3-hydroxyphenyl)propionic acid","FB_030415","HMDB00375","C11457","CHEBI:1427","91","QVWAEZJXDYOKEH-UHFFFAOYSA-N","InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)","89"
"3-(3-hydroxyphenyl)propionic acid glucuronide","FB_08679",NA,NA,NA,NA,"YFLHDBYZUJBQGB-DKBOKBLXSA-N","InChI=1S/C15H18O9/c16-9(17)5-4-7-2-1-3-8(6-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-3,6,10-13,15,18-20H,4-5H2,(H,16,17)(H,21,22)/t10-,11-,12+,13-,15+/m0/s1",NA
"3-(3-hydroxyphenyl)propionic acid sulfate","FB_08681",NA,NA,"CHEBI:64414","187488","IQWLPDPKVFZEOK-UHFFFAOYSA-N","InChI=1S/C9H10O6S/c10-9(11)5-4-7-2-1-3-8(6-7)15-16(12,13)14/h1-3,6H,4-5H2,(H,10,11)(H,12,13,14)",NA
"3,4-dicaffeoylquinic acid","FB_030400",NA,"C10468","CHEBI:5995","5281780","UFCLZKMFXSILNL-PSEXTPKNSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23-,25+/m1/s1","4445093"
"3,4-dihydroxybenzaldehyde","FB_030455",NA,"C16700","CHEBI:50205","8768","IBGBGRVKPALMCQ-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",NA
"3,4-dihydroxybenzoic acid","FB_030329","HMDB01856","C00230",NA,"72","YQUVCSBJEUQKSH-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)","71"
"3,4-dihydroxybenzoic acid 3-glucuronide","FB_030331",NA,NA,NA,"71316220","CXNFDJSOAJNKSU-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-2-1-4(11(18)19)3-6(5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1",NA
"3,4-dihydroxybenzoic acid 3-sulfate","FB_030336",NA,NA,NA,"71316222","GSFKEOSQCKWCLH-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-2-1-4(7(9)10)3-6(5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"3,4-dihydroxybenzoic acid 4-glucuronide","FB_030332",NA,NA,NA,NA,"NLCBCVGRBFNEJE-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-3-4(11(18)19)1-2-6(5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1",NA
"3,4-dihydroxybenzoic acid 4-sulfate","FB_030337",NA,NA,NA,"195945","NGQYUDIZIPNWJV-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-3-4(7(9)10)1-2-6(5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"3,4-dihydroxyphenylacetic acid","FB_030377","HMDB01336","C01161",NA,"547","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)","15765504 | 532"
"3,4-dihydroxyphenylacetic acid 3-glucuronide","FB_08660",NA,NA,NA,NA,"RVIUQHYENGKVCZ-UHFFFAOYSA-N","InChI=1S/C14H16O10/c15-6-2-1-5(4-8(16)17)3-7(6)23-14-11(20)9(18)10(19)12(24-14)13(21)22/h1-3,9-12,14-15,18-20H,4H2,(H,16,17)(H,21,22)",NA
"3,4-dihydroxyphenylacetic acid 3-sulfate","FB_08662",NA,NA,NA,NA,"KAIXMDKRVHGWDK-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c9-6-2-1-5(4-8(10)11)3-7(6)15-16(12,13)14/h1-3,9H,4H2,(H,10,11)(H,12,13,14)",NA
"3,4-dihydroxyphenylacetic acid 4-glucuronide","FB_08661",NA,NA,NA,NA,"SOKKQMPCIJPSGH-UHFFFAOYSA-N","InChI=1S/C14H16O10/c15-6-3-5(4-8(16)17)1-2-7(6)23-14-11(20)9(18)10(19)12(24-14)13(21)22/h1-3,9-12,14-15,18-20H,4H2,(H,16,17)(H,21,22)",NA
"3,4-dihydroxyphenylacetic acid 4-sulfate","FB_08663",NA,NA,NA,"193283","ZQTJTTSZJNFQGJ-UHFFFAOYSA-N","InChI=1S/C8H8O7S/c9-6-3-5(4-8(10)11)1-2-7(6)15-16(12,13)14/h1-3,9H,4H2,(H,10,11)(H,12,13,14)",NA
"3,4-dihydroxyphenylacetic acid glucuronide","FB_030378",NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylacetic acid sulfate","FB_030379",NA,NA,NA,NA,NA,NA,NA
"3-(4-hydroxyphenyl)propionic acid","FB_030416","HMDB02199","C01744","CHEBI:32980","10394","NMHMNPHRMNGLLB-UHFFFAOYSA-N","InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)",NA
"3-(4-hydroxyphenyl)propionic acid glucuronide","FB_08680",NA,NA,NA,NA,"WALCYTHTBOWOFF-PDWCTOEPSA-N","InChI=1S/C15H18O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15(22)13-11(19)10(18)12(20)14(21)24-13/h1-2,4-5,10-14,18-21H,3,6H2,(H,16,17)/t10-,11-,12+,13-,14+/m0/s1",NA
"3-(4-hydroxyphenyl)propionic acid sulfate","FB_08682",NA,NA,NA,"49844036","YKAVCSNFDHAGEG-UHFFFAOYSA-N","InChI=1S/C9H10O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-2,4-5H,3,6H2,(H,10,11)(H,12,13,14)",NA
"3,5-dicaffeoylquinic acid","FB_030401",NA,NA,NA,"6474310","KRZBCHWVBQOTNZ-RDJMKVHDSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(30)36-19-11-25(35,24(33)34)12-20(23(19)32)37-22(31)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-29,32,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23?,25?/m1/s1","4976336"
"3,5-dihydroxybenzoic acid","FB_030330","HMDB13173",NA,"CHEBI:39912","7424","UYEMGAFJOZZIFP-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",NA
"3,5-dihydroxybenzoic acid glucuronide","FB_030333",NA,NA,NA,NA,"LEONNYUSLXUBTI-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-1-4(11(18)19)2-6(3-5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1",NA
"3,5-dihydroxybenzoic acid sulfate","FB_030338",NA,NA,NA,NA,"NDZHPENMJGDGPX-UHFFFAOYSA-N","InChI=1S/C7H6O7S/c8-5-1-4(7(9)10)2-6(3-5)14-15(11,12)13/h1-3,8H,(H,9,10)(H,11,12,13)",NA
"3,7-dimethyluric acid","FB_030664","HMDB01982","C16360","CHEBI:68531","83126","HMLZLHKHNBLLJD-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)11(2)7(14)9-5(3)12/h1-2H3,(H,8,13)(H,9,12,14)","74994"
"3-caffeoylquinic acid","FB_030397","HMDB03164","C00852","CHEBI:16112","1794427","CWVRJTMFETXNAD-JUHZACGLSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1","1405788"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoic acid","FB_030651",NA,NA,"CHEBI:41254","123979","WMCQWXZMVIETAO-UHFFFAOYSA-N","InChI=1S/C12H16O5/c1-3-4-8-7(2)11(12(15)16)9(17-8)5-6-10(13)14/h3-6H2,1-2H3,(H,13,14)(H,15,16)",NA
"3-feruloylquinic acid","FB_030403",NA,NA,NA,"10133609","RAGZUCNPTLULOL-KQJPBSFVSA-N","InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15+,17-/m1/s1","8309124"
"3-hydroxybenzaldehyde","FB_030453",NA,"C03067","CHEBI:16207","101","IAVREABSGIHHMO-UHFFFAOYSA-N","InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",NA
"3-hydroxybenzoic acid","FB_030319","HMDB02466","C00587","CHEBI:30764","7420","IJFXRHURBJZNAO-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","16308565"
"3-hydroxybenzoic acid glucuronide","FB_030322",NA,NA,NA,NA,"ZXNABXFYKZWAPQ-UHFFFAOYSA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-3-1-2-5(4-6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)",NA
"3-hydroxybenzoic acid sulfate","FB_030325",NA,NA,NA,"21126437","MZYPOJMKJHCOQG-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-2-1-3-6(4-5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)","19994151"
"3-hydroxyhippuric acid","FB_030342","HMDB06116",NA,"CHEBI:70824","450268","XDOFWFNMYJRHEW-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c11-7-3-1-2-6(4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",NA
"3-hydroxyphenylacetic acid","FB_030369","HMDB00440","C05593","CHEBI:17445","12122","FVMDYYGIDFPZAX-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","16253543"
"3-hydroxyphenylacetic acid glucuronide","FB_030372",NA,NA,NA,NA,"UJBQYMIQTYWRFA-UHFFFAOYSA-N","InChI=1S/C14H16O9/c15-8(16)5-6-2-1-3-7(4-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)",NA
"3-hydroxyphenylacetic acid sulfate","FB_030375",NA,NA,NA,NA,"VBCLPDSIELLWDI-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c9-8(10)5-6-2-1-3-7(4-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)",NA
"3'-methylcatechin 4'-glucuronide","FB_08566",NA,NA,NA,NA,"OQBMUBCLLAWJHJ-PYSZTQAZSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19+,20+,22-/m1/s1",NA
