"metabolite","food"
"L-tryptophan","''dairy food product''"
"L-tryptophan","''meat food product''"
"L-tryptophan","''Whole grain cereal products''"
"L-tryptophan","''nut (whole or part)''"
"L-tryptophan","''soybean (whole)''"
"L-tryptophan","''egg food product''"
"L-tryptophan","''legume food product''"
"salicylic acid","''olive oil''"
"salicylic acid","''cacao food product''"
"salicylic acid","''tea based beverage product''"
"salicylic acid","''legume food product''"
"salicylic acid","''plant fruit food product''"
"salicylic acid","''nut (whole or part)''"
"salicylic acid","''Whole grain cereal products''"
"salicylic acid","''red wine''"
"salicylic acid","''vegetable food product''"
"salicylic acid","''coffee based beverage product''"
"beta-alanine","''Red meat''"
"4-methylcatechol","''olive oil''"
"4-methylcatechol","''cacao food product''"
"4-methylcatechol","''tea based beverage product''"
"4-methylcatechol","''coffee based beverage product''"
"4-methylcatechol","''Whole grain cereal products''"
"4-methylcatechol","''vegetable food product''"
"4-methylcatechol","''legume food product''"
"4-methylcatechol","''plant fruit food product''"
"4-methylcatechol","''red wine''"
"4-methylcatechol","''nut (whole or part)''"
"phloretin","''apple (whole)''"
"L-phenylalanine","''soybean (whole)''"
"L-phenylalanine","''nut (whole or part)''"
"L-phenylalanine","''egg food product''"
"L-phenylalanine","''Whole grain cereal products''"
"L-phenylalanine","''meat food product''"
"L-phenylalanine","''dairy food product''"
"L-phenylalanine","''legume food product''"
"bergaptol","''grapefruit (whole, raw)''"
"3-(4-hydroxyphenyl)lactic acid","''dairy food product''"
"3-(4-hydroxyphenyl)lactic acid","''meat food product''"
"3-(4-hydroxyphenyl)lactic acid","''Whole grain cereal products''"
"3-(4-hydroxyphenyl)lactic acid","''soybean (whole)''"
"3-(4-hydroxyphenyl)lactic acid","''egg food product''"
"3-(4-hydroxyphenyl)lactic acid","''nut (whole or part)''"
"3-(4-hydroxyphenyl)lactic acid","''legume food product''"
"cis-caffeic acid","''plant fruit food product''"
"cis-caffeic acid","''olive oil''"
"cis-caffeic acid","''cacao food product''"
"cis-caffeic acid","''tea based beverage product''"
"cis-caffeic acid","''coffee based beverage product''"
"cis-caffeic acid","''Whole grain cereal products''"
"cis-caffeic acid","''red wine''"
"cis-caffeic acid","''vegetable food product''"
"cis-caffeic acid","''nut (whole or part)''"
"cis-caffeic acid","''legume food product''"
"cyanocob(III)alamin","''dairy food product''"
"cyanocob(III)alamin","''egg food product''"
"cyanocob(III)alamin","''meat food product''"
"3-hydroxyphenylacetic acid","''Whole grain cereal products''"
"3-hydroxyphenylacetic acid","''coffee based beverage product''"
"3-hydroxyphenylacetic acid","''olive oil''"
"3-hydroxyphenylacetic acid","''red wine''"
"3-hydroxyphenylacetic acid","''vegetable food product''"
"3-hydroxyphenylacetic acid","''tea based beverage product''"
"3-hydroxyphenylacetic acid","''cacao food product''"
"3-hydroxyphenylacetic acid","''legume food product''"
"3-hydroxyphenylacetic acid","''plant fruit food product''"
"3-hydroxyphenylacetic acid","''nut (whole or part)''"
"biochanin A","''legume food product''"
"biochanin A","''soybean (whole)''"
"beta-carotene","''vegetable food product''"
"beta-carotene","''plant fruit food product''"
"4-hydroxybenzaldehyde","''Whole grain cereal products''"
"4-hydroxybenzaldehyde","''tea based beverage product''"
"4-hydroxybenzaldehyde","''cacao food product''"
"4-hydroxybenzaldehyde","''coffee based beverage product''"
"4-hydroxybenzaldehyde","''plant fruit food product''"
"4-hydroxybenzaldehyde","''vegetable food product''"
"4-hydroxybenzaldehyde","''olive oil''"
"4-hydroxybenzaldehyde","''red wine''"
"4-hydroxybenzaldehyde","''nut (whole or part)''"
"4-hydroxybenzaldehyde","''legume food product''"
"ferulic acid","''legume food product''"
"ferulic acid","''nut (whole or part)''"
"ferulic acid","''Whole grain cereal products''"
"ferulic acid","''red wine''"
"ferulic acid","''plant fruit food product''"
"ferulic acid","''olive oil''"
"ferulic acid","''tea based beverage product''"
"ferulic acid","''cacao food product''"
"ferulic acid","''coffee based beverage product''"
"ferulic acid","''vegetable food product''"
"N-feruloylglycine","''cacao food product''"
"N-feruloylglycine","''coffee based beverage product''"
"N-feruloylglycine","''olive oil''"
"N-feruloylglycine","''tea based beverage product''"
"N-feruloylglycine","''plant fruit food product''"
"N-feruloylglycine","''legume food product''"
"N-feruloylglycine","''red wine''"
"N-feruloylglycine","''nut (whole or part)''"
"N-feruloylglycine","''Whole grain cereal products''"
"N-feruloylglycine","''vegetable food product''"
"(S)-naringenin","''tomato (whole, raw)''"
"(S)-naringenin","''citrus fruit food product''"
"p-cresol","''Whole grain cereal products''"
"p-cresol","''meat food product''"
"p-cresol","''dairy food product''"
"p-cresol","''nut (whole or part)''"
"p-cresol","''soybean (whole)''"
"p-cresol","''egg food product''"
"p-cresol","''legume food product''"
"N(2)-phenylacetyl-L-glutamine","''legume food product''"
"N(2)-phenylacetyl-L-glutamine","''egg food product''"
"N(2)-phenylacetyl-L-glutamine","''Whole grain cereal products''"
"N(2)-phenylacetyl-L-glutamine","''nut (whole or part)''"
"N(2)-phenylacetyl-L-glutamine","''soybean (whole)''"
"N(2)-phenylacetyl-L-glutamine","''dairy food product''"
"N(2)-phenylacetyl-L-glutamine","''meat food product''"
"L-tyrosine","''legume food product''"
"L-tyrosine","''soybean (whole)''"
"L-tyrosine","''egg food product''"
"L-tyrosine","''Whole grain cereal products''"
"L-tyrosine","''nut (whole or part)''"
"L-tyrosine","''dairy food product''"
"L-tyrosine","''meat food product''"
"sucrose","'sugar'"
"sucrose","''plant fruit food product''"
"sucrose","''soft drink''"
"DIMBOA","''Whole grain cereal products''"
"formononetin","''soybean (whole)''"
"formononetin","''legume food product''"
"N-benzoylglycine","''coffee based beverage product''"
"N-benzoylglycine","''cacao food product''"
"N-benzoylglycine","''tea based beverage product''"
"N-benzoylglycine","''red wine''"
"N-benzoylglycine","''Whole grain cereal products''"
"N-benzoylglycine","''nut (whole or part)''"
"N-benzoylglycine","''plant fruit food product''"
"N-benzoylglycine","''olive oil''"
"N-benzoylglycine","''legume food product''"
"N-benzoylglycine","''vegetable food product''"
"trans-4-hydroxy-L-proline","''meat food product''"
"4-hydroxyphenylacetic acid","''legume food product''"
"4-hydroxyphenylacetic acid","''plant fruit food product''"
"4-hydroxyphenylacetic acid","''red wine''"
"4-hydroxyphenylacetic acid","''nut (whole or part)''"
"4-hydroxyphenylacetic acid","''vegetable food product''"
"4-hydroxyphenylacetic acid","''olive oil''"
"4-hydroxyphenylacetic acid","''Whole grain cereal products''"
"4-hydroxyphenylacetic acid","''coffee based beverage product''"
"4-hydroxyphenylacetic acid","''tea based beverage product''"
"4-hydroxyphenylacetic acid","''cacao food product''"
"2-aminophenol","''Whole grain cereal products''"
"N-methylnicotinate","''legume food product''"
"N-methylnicotinate","''coffee based beverage product''"
"trans-2-coumaric acid","''legume food product''"
"trans-2-coumaric acid","''plant fruit food product''"
"trans-2-coumaric acid","''vegetable food product''"
"trans-2-coumaric acid","''red wine''"
"trans-2-coumaric acid","''olive oil''"
"trans-2-coumaric acid","''nut (whole or part)''"
"trans-2-coumaric acid","''Whole grain cereal products''"
"trans-2-coumaric acid","''cacao food product''"
"trans-2-coumaric acid","''tea based beverage product''"
"trans-2-coumaric acid","''coffee based beverage product''"
"catechol","''nut (whole or part)''"
"catechol","''plant fruit food product''"
"catechol","''vegetable food product''"
"catechol","''Whole grain cereal products''"
"catechol","''red wine''"
"catechol","''legume food product''"
"catechol","''coffee based beverage product''"
"catechol","''tea based beverage product''"
"catechol","''cacao food product''"
"catechol","''olive oil''"
"anserine","'fish'"
"anserine","''Lean meat''"
"vanillin","''olive oil''"
"vanillin","''plant fruit food product''"
"vanillin","''legume food product''"
"vanillin","''Whole grain cereal products''"
"vanillin","''vegetable food product''"
"vanillin","''red wine''"
"vanillin","''nut (whole or part)''"
"vanillin","''cacao food product''"
"vanillin","''tea based beverage product''"
"vanillin","''coffee based beverage product''"
"apigenin","''legume food product''"
"apigenin","''nut (whole or part)''"
"apigenin","''plant fruit food product''"
"apigenin","''red wine''"
"apigenin","''vegetable food product''"
"apigenin","''olive oil''"
"apigenin","''Whole grain cereal products''"
"apigenin","''coffee based beverage product''"
"apigenin","''cacao food product''"
"apigenin","''tea based beverage product''"
"2-(4-hydroxyphenyl)ethanol","''olive oil''"
"4-methylumbelliferone beta-D-glucuronide","''vegetable food product''"
"4-methylumbelliferone beta-D-glucuronide","''plant fruit food product''"
"4-methylumbelliferone sulfate","''vegetable food product''"
"4-methylumbelliferone sulfate","''plant fruit food product''"
"cardol","''Whole grain cereal products''"
"1,7-dimethylxanthine","''tea based beverage product''"
"1,7-dimethylxanthine","''coffee based beverage product''"
"1,7-dimethylxanthine","''cacao food product''"
"3-phenyllactic acid","''nut (whole or part)''"
"3-phenyllactic acid","''soybean (whole)''"
"3-phenyllactic acid","''Whole grain cereal products''"
"3-phenyllactic acid","''meat food product''"
"3-phenyllactic acid","''dairy food product''"
"3-phenyllactic acid","''legume food product''"
"3-phenyllactic acid","''egg food product''"
"alpha-linolenic acid","''nut (whole or part)''"
"phenylacetylglycine","''Whole grain cereal products''"
"phenylacetylglycine","''meat food product''"
"phenylacetylglycine","''dairy food product''"
"phenylacetylglycine","''legume food product''"
"phenylacetylglycine","''egg food product''"
"phenylacetylglycine","''soybean (whole)''"
"phenylacetylglycine","''nut (whole or part)''"
"zeaxanthin","''vegetable food product''"
"zeaxanthin","''plant fruit food product''"
"N(pros)-methyl-L-histidine","'fish'"
"N(pros)-methyl-L-histidine","''Lean meat''"
"caffeine","''tea based beverage product''"
"caffeine","''cacao food product''"
"caffeine","''coffee based beverage product''"
"isoferulic acid","''coffee based beverage product''"
"isoferulic acid","''tea based beverage product''"
"isoferulic acid","''cacao food product''"
"isoferulic acid","''legume food product''"
"isoferulic acid","''vegetable food product''"
"isoferulic acid","''Whole grain cereal products''"
"isoferulic acid","''olive oil''"
"isoferulic acid","''plant fruit food product''"
"isoferulic acid","''red wine''"
"isoferulic acid","''nut (whole or part)''"
"(5-hydroxyindol-3-yl)acetic acid","''dairy food product''"
"(5-hydroxyindol-3-yl)acetic acid","''meat food product''"
"(5-hydroxyindol-3-yl)acetic acid","''legume food product''"
"(5-hydroxyindol-3-yl)acetic acid","''egg food product''"
"(5-hydroxyindol-3-yl)acetic acid","''soybean (whole)''"
"(5-hydroxyindol-3-yl)acetic acid","''nut (whole or part)''"
"(5-hydroxyindol-3-yl)acetic acid","''Whole grain cereal products''"
"resveratrol","''grape (whole, raw)''"
"resveratrol","''red wine''"
"elaidic acid","''Red meat''"
"elaidic acid","''dairy food product''"
"genistein","''legume food product''"
"genistein","''soybean (whole)''"
"all-cis-docosa-4,7,10,13,16,19-hexaenoic acid","'fish'"
"theophylline","''tea based beverage product''"
"theophylline","''cacao food product''"
"theophylline","''coffee based beverage product''"
"daidzein","''soybean (whole)''"
"daidzein","''legume food product''"
"all-cis-5,8,11,14,17-icosapentaenoic acid","'fish'"
"solanidine","''potato (whole, raw)''"
"(2-hydroxyphenyl)acetic acid","''Whole grain cereal products''"
"(2-hydroxyphenyl)acetic acid","''coffee based beverage product''"
"(2-hydroxyphenyl)acetic acid","''olive oil''"
"(2-hydroxyphenyl)acetic acid","''legume food product''"
"(2-hydroxyphenyl)acetic acid","''plant fruit food product''"
"(2-hydroxyphenyl)acetic acid","''nut (whole or part)''"
"(2-hydroxyphenyl)acetic acid","''red wine''"
"(2-hydroxyphenyl)acetic acid","''tea based beverage product''"
"(2-hydroxyphenyl)acetic acid","''cacao food product''"
"(2-hydroxyphenyl)acetic acid","''vegetable food product''"
"kaempferol","''Whole grain cereal products''"
"kaempferol","''cacao food product''"
"kaempferol","''tea based beverage product''"
"kaempferol","''olive oil''"
"kaempferol","''coffee based beverage product''"
"kaempferol","''vegetable food product''"
"kaempferol","''nut (whole or part)''"
"kaempferol","''red wine''"
"kaempferol","''plant fruit food product''"
"kaempferol","''legume food product''"
"guaiacol","''coffee based beverage product''"
"guaiacol","''vegetable food product''"
"guaiacol","''legume food product''"
"guaiacol","''plant fruit food product''"
"guaiacol","''nut (whole or part)''"
"guaiacol","''red wine''"
"guaiacol","''tea based beverage product''"
"guaiacol","''olive oil''"
"guaiacol","''cacao food product''"
"guaiacol","''Whole grain cereal products''"
"3-O-methylgallic acid","''red wine''"
"3-O-methylgallic acid","''coffee based beverage product''"
"3-O-methylgallic acid","''olive oil''"
"3-O-methylgallic acid","''cacao food product''"
"3-O-methylgallic acid","''tea based beverage product''"
"3-O-methylgallic acid","''Whole grain cereal products''"
"3-O-methylgallic acid","''legume food product''"
"3-O-methylgallic acid","''plant fruit food product''"
"3-O-methylgallic acid","''nut (whole or part)''"
"3-O-methylgallic acid","''vegetable food product''"
"fructose","'sugar'"
"fructose","''plant fruit food product''"
"fructose","''soft drink''"
"theobromine","''cacao food product''"
"theobromine","''tea based beverage product''"
"theobromine","''coffee based beverage product''"
"4-hydroxybenzoic acid","''nut (whole or part)''"
"4-hydroxybenzoic acid","''vegetable food product''"
"4-hydroxybenzoic acid","''red wine''"
"4-hydroxybenzoic acid","''Whole grain cereal products''"
"4-hydroxybenzoic acid","''plant fruit food product''"
"4-hydroxybenzoic acid","''tea based beverage product''"
"4-hydroxybenzoic acid","''coffee based beverage product''"
"4-hydroxybenzoic acid","''cacao food product''"
"4-hydroxybenzoic acid","''olive oil''"
"4-hydroxybenzoic acid","''legume food product''"
"3-hydroxybenzoic acid","''nut (whole or part)''"
"3-hydroxybenzoic acid","''plant fruit food product''"
"3-hydroxybenzoic acid","''vegetable food product''"
"3-hydroxybenzoic acid","''Whole grain cereal products''"
"3-hydroxybenzoic acid","''tea based beverage product''"
"3-hydroxybenzoic acid","''coffee based beverage product''"
"3-hydroxybenzoic acid","''cacao food product''"
"3-hydroxybenzoic acid","''olive oil''"
"3-hydroxybenzoic acid","''red wine''"
"3-hydroxybenzoic acid","''legume food product''"
"citric acid","''vegetable food product''"
"citric acid","''plant fruit food product''"
"gallic acid","''plant fruit food product''"
"gallic acid","''legume food product''"
"gallic acid","''vegetable food product''"
"gallic acid","''coffee based beverage product''"
"gallic acid","''tea based beverage product''"
"gallic acid","''cacao food product''"
"gallic acid","''nut (whole or part)''"
"gallic acid","''Whole grain cereal products''"
"gallic acid","''red wine''"
"gallic acid","''olive oil''"
"vanillic acid","''Whole grain cereal products''"
"vanillic acid","''olive oil''"
"vanillic acid","''red wine''"
"vanillic acid","''vegetable food product''"
"vanillic acid","''tea based beverage product''"
"vanillic acid","''coffee based beverage product''"
"vanillic acid","''legume food product''"
"vanillic acid","''cacao food product''"
"vanillic acid","''nut (whole or part)''"
"vanillic acid","''plant fruit food product''"
"delphinidin 3-O-beta-D-glucoside","''red wine''"
"delphinidin 3-O-beta-D-glucoside","''berry (whole, raw)''"
"malvidin 3-O-beta-D-glucoside","''red wine''"
"malvidin 3-O-beta-D-glucoside","''berry (whole, raw)''"
"pelargonidin 3-O-beta-D-glucoside","''berry (whole, raw)''"
"pelargonidin 3-O-beta-D-glucoside","''red wine''"
"saccharin","''soft drink (dietetic)''"
"sucralose","''soft drink (dietetic)''"
"trans-3-coumaric acid","''Whole grain cereal products''"
"trans-3-coumaric acid","''red wine''"
"trans-3-coumaric acid","''vegetable food product''"
"trans-3-coumaric acid","''nut (whole or part)''"
"trans-3-coumaric acid","''coffee based beverage product''"
"trans-3-coumaric acid","''cacao food product''"
"trans-3-coumaric acid","''tea based beverage product''"
"trans-3-coumaric acid","''plant fruit food product''"
"trans-3-coumaric acid","''olive oil''"
"trans-3-coumaric acid","''legume food product''"
"heptadecanoic acid","''dairy food product''"
"trans-4-coumaric acid","''coffee based beverage product''"
"trans-4-coumaric acid","''cacao food product''"
"trans-4-coumaric acid","''tea based beverage product''"
"trans-4-coumaric acid","''Whole grain cereal products''"
"trans-4-coumaric acid","''red wine''"
"trans-4-coumaric acid","''plant fruit food product''"
"trans-4-coumaric acid","''olive oil''"
"trans-4-coumaric acid","''nut (whole or part)''"
"trans-4-coumaric acid","''vegetable food product''"
"trans-4-coumaric acid","''legume food product''"
"5-acetamido-6-formamido-3-methyluracil","''cacao food product''"
"5-acetamido-6-formamido-3-methyluracil","''coffee based beverage product''"
"5-acetamido-6-formamido-3-methyluracil","''tea based beverage product''"
"9-cis,11-trans-octadecadienoic acid","''dairy food product''"
"9-cis,11-trans-octadecadienoic acid","''Red meat''"
"phloretic acid","''plant fruit food product''"
"phloretic acid","''cacao food product''"
"phloretic acid","''coffee based beverage product''"
"phloretic acid","''tea based beverage product''"
"phloretic acid","''Whole grain cereal products''"
"phloretic acid","''vegetable food product''"
"phloretic acid","''nut (whole or part)''"
"phloretic acid","''olive oil''"
"phloretic acid","''legume food product''"
"phloretic acid","''red wine''"
"equol","''legume food product''"
"equol","''soybean (whole)''"
"(6R)-beta,epsilon-carotene","''plant fruit food product''"
"(6R)-beta,epsilon-carotene","''vegetable food product''"
"L-proline betaine","''citrus fruit food product''"
"cis-resveratrol","''red wine''"
"cis-resveratrol","''grape (whole, raw)''"
"vaccenic acid","''Red meat''"
"vaccenic acid","''dairy food product''"
"3,5-dihydroxybenzoic acid","''Whole grain cereal products''"
"3,5-dihydroxybenzoic acid","''tea based beverage product''"
"3,5-dihydroxybenzoic acid","''cacao food product''"
"3,5-dihydroxybenzoic acid","''olive oil''"
"3,5-dihydroxybenzoic acid","''coffee based beverage product''"
"3,5-dihydroxybenzoic acid","''vegetable food product''"
"3,5-dihydroxybenzoic acid","''plant fruit food product''"
"3,5-dihydroxybenzoic acid","''red wine''"
"3,5-dihydroxybenzoic acid","''legume food product''"
"3,5-dihydroxybenzoic acid","''nut (whole or part)''"
"2-(2-carboxyethyl)-4-methyl-5-propylfuran-3-carboxylic acid","'fish'"
"indoxyl sulfate","''soybean (whole)''"
"indoxyl sulfate","''egg food product''"
"indoxyl sulfate","''nut (whole or part)''"
"indoxyl sulfate","''Whole grain cereal products''"
"indoxyl sulfate","''dairy food product''"
"indoxyl sulfate","''legume food product''"
"indoxyl sulfate","''meat food product''"
"L-rhamnitol","''apple (whole)''"
"S-methylcysteine","''Onion family vegetables''"
"S-methylcysteine","''garlic (whole, raw)''"
"dihydroresveratrol","''red wine''"
"dihydroresveratrol","''grape (whole, raw)''"
"(-)-epigallocatechin 3-gallate","''tea based beverage product''"
"(-)-epigallocatechin 3-gallate","''cacao food product''"
"(-)-epigallocatechin 3-gallate","''berry (whole, raw)''"
"(-)-epigallocatechin 3-gallate","''apple (whole)''"
"(-)-epigallocatechin 3-gallate","''nut (whole or part)''"
"(-)-epigallocatechin 3-gallate","''red wine''"
"ergothioneine","''mushroom food product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''cacao food product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''olive oil''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''legume food product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''vegetable food product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''Whole grain cereal products''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''red wine''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''nut (whole or part)''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''plant fruit food product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''tea based beverage product''"
"3-(3,4-dihydroxyphenyl)propanoic acid","''coffee based beverage product''"
"7-methylxanthine","''tea based beverage product''"
"7-methylxanthine","''cacao food product''"
"7-methylxanthine","''coffee based beverage product''"
"3,4-dihydroxybenzaldehyde","''legume food product''"
"3,4-dihydroxybenzaldehyde","''nut (whole or part)''"
"3,4-dihydroxybenzaldehyde","''plant fruit food product''"
"3,4-dihydroxybenzaldehyde","''red wine''"
"3,4-dihydroxybenzaldehyde","''vegetable food product''"
"3,4-dihydroxybenzaldehyde","''olive oil''"
"3,4-dihydroxybenzaldehyde","''Whole grain cereal products''"
"3,4-dihydroxybenzaldehyde","''tea based beverage product''"
"3,4-dihydroxybenzaldehyde","''cacao food product''"
"3,4-dihydroxybenzaldehyde","''coffee based beverage product''"
"N(tele)-methyl-L-histidine","''Red meat''"
"N(tele)-methyl-L-histidine","''Lean meat''"
"homovanillic acid	homovanillic acid","''vegetable food product''"
"homovanillic acid	homovanillic acid","''Whole grain cereal products''"
"homovanillic acid	homovanillic acid","''olive oil''"
"homovanillic acid	homovanillic acid","''coffee based beverage product''"
"homovanillic acid	homovanillic acid","''legume food product''"
"homovanillic acid	homovanillic acid","''tea based beverage product''"
"homovanillic acid	homovanillic acid","''cacao food product''"
"homovanillic acid	homovanillic acid","''nut (whole or part)''"
"homovanillic acid	homovanillic acid","''red wine''"
"homovanillic acid	homovanillic acid","''plant fruit food product''"
"O-acetyl-L-carnitine","''Lean meat''"
"O-acetyl-L-carnitine","''Red meat''"
"Isochlorogenic acid b","''plant fruit food product''"
"Isochlorogenic acid b","''coffee based beverage product''"
"Isochlorogenic acid b","''tea based beverage product''"
"Isochlorogenic acid b","''vegetable food product''"
"isorhamnetin	isorhamnetin","''tea based beverage product''"
"isorhamnetin	isorhamnetin","''cacao food product''"
"isorhamnetin	isorhamnetin","''legume food product''"
"isorhamnetin	isorhamnetin","''olive oil''"
"isorhamnetin	isorhamnetin","''plant fruit food product''"
"isorhamnetin	isorhamnetin","''nut (whole or part)''"
"isorhamnetin	isorhamnetin","''red wine''"
"isorhamnetin	isorhamnetin","''coffee based beverage product''"
"isorhamnetin	isorhamnetin","''Whole grain cereal products''"
"isorhamnetin	isorhamnetin","''vegetable food product''"
"3-methyl-9H-xanthine","''tea based beverage product''"
"3-methyl-9H-xanthine","''cacao food product''"
"3-methyl-9H-xanthine","''coffee based beverage product''"
"DIBOA","''Whole grain cereal products''"
"HBOA","''Whole grain cereal products''"
"3-hydroxy-4-methoxybenzoic acid","''vegetable food product''"
"3-hydroxy-4-methoxybenzoic acid","''nut (whole or part)''"
"3-hydroxy-4-methoxybenzoic acid","''red wine''"
"3-hydroxy-4-methoxybenzoic acid","''legume food product''"
"3-hydroxy-4-methoxybenzoic acid","''olive oil''"
"3-hydroxy-4-methoxybenzoic acid","''Whole grain cereal products''"
"3-hydroxy-4-methoxybenzoic acid","''tea based beverage product''"
"3-hydroxy-4-methoxybenzoic acid","''cacao food product''"
"3-hydroxy-4-methoxybenzoic acid","''coffee based beverage product''"
"3-hydroxy-4-methoxybenzoic acid","''plant fruit food product''"
"3-(3-sulfooxyphenyl)propanoic acid","''red wine''"
"3-(3-sulfooxyphenyl)propanoic acid","''nut (whole or part)''"
"3-(3-sulfooxyphenyl)propanoic acid","''vegetable food product''"
"3-(3-sulfooxyphenyl)propanoic acid","''legume food product''"
"3-(3-sulfooxyphenyl)propanoic acid","''coffee based beverage product''"
"3-(3-sulfooxyphenyl)propanoic acid","''cacao food product''"
"3-(3-sulfooxyphenyl)propanoic acid","''tea based beverage product''"
"3-(3-sulfooxyphenyl)propanoic acid","''Whole grain cereal products''"
"3-(3-sulfooxyphenyl)propanoic acid","''olive oil''"
"3-(3-sulfooxyphenyl)propanoic acid","''plant fruit food product''"
"malic acid","''apple (whole)''"
"maslinic acid","''olive oil''"
"syringic acid","''Whole grain cereal products''"
"syringic acid","''red wine''"
"syringic acid","''vegetable food product''"
"syringic acid","''legume food product''"
"syringic acid","''nut (whole or part)''"
"syringic acid","''plant fruit food product''"
"syringic acid","''tea based beverage product''"
"syringic acid","''cacao food product''"
"syringic acid","''coffee based beverage product''"
"syringic acid","''olive oil''"
"1-methyluric acid","''coffee based beverage product''"
"1-methyluric acid","''tea based beverage product''"
"1-methyluric acid","''cacao food product''"
"1-methyl-7H-xanthine","''coffee based beverage product''"
"1-methyl-7H-xanthine","''cacao food product''"
"1-methyl-7H-xanthine","''tea based beverage product''"
"1,3-dimethyluric acid","''cacao food product''"
