Entity;Type;Superclass(es);BiomarkerOf;Contains;
'ferulic acid';Class;'Hydroxycinnamic acids';"''legume food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''vegetable food product''";;
N-feruloylglycine;Class;'N-acyl-alpha amino acids and derivatives';"''cacao food product''	''coffee based beverage product''	''olive oil''	''tea based beverage product''	''plant fruit food product''	''red wine''	''legume food product''	''nut (whole or part)''	''vegetable food product''	''Whole grain cereal products''";;
'(S)-naringenin';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;
p-cresol;Class;'Para cresols';"''Whole grain cereal products''	''meat food product''	''dairy food product''	''nut (whole or part)''	''soybean (whole)''	''egg food product''	''legume food product''";;
'N(2)-phenylacetyl-L-glutamine';Class;'N-acyl-alpha amino acids and derivatives';"''legume food product''	''egg food product''	''Whole grain cereal products''	''nut (whole or part)''	''soybean (whole)''	''dairy food product''	''meat food product''";;
L-tyrosine;Class;'Tyrosine and derivatives';"''legume food product''	''soybean (whole)''	''egg food product''	''Whole grain cereal products''	''nut (whole or part)''	''dairy food product''	''meat food product''";;
sucrose;Class;'O-glycosyl compounds';"'sugar'	''plant fruit food product''	''soft drink''";;
DIMBOA;Class;Benzoxazinones;"''Whole grain cereal products''";;
formononetin;Class;4'-O-methylisoflavones;"''soybean (whole)''	''legume food product''";;
N-benzoylglycine;Class;'Hippuric acids';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''legume food product''	''vegetable food product''";;
trans-4-hydroxy-L-proline;Class;'Proline and derivatives';"''meat food product''";;
'4-hydroxyphenylacetic acid';Class;'1-hydroxy-2-unsubstituted benzenoids';"''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''vegetable food product''	''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''";;
2-aminophenol;Class;'Aniline and substituted anilines';"''Whole grain cereal products''";;
N-methylnicotinate;Class;'Alkaloids and derivatives';"''legume food product''	''coffee based beverage product''";;
'trans-2-coumaric acid';Class;'Hydroxycinnamic acids';"''legume food product''	''plant fruit food product''	''vegetable food product''	''red wine''	''Whole grain cereal products''	''olive oil''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
catechol;Class;Catechols;"''nut (whole or part)''	''vegetable food product''	''plant fruit food product''	''Whole grain cereal products''	''red wine''	''legume food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''";;
anserine;Class;'Hybrid peptides';"'fish'	''Lean meat''";;
vanillin;Class;Methoxyphenols;"''plant fruit food product''	''olive oil''	''legume food product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
apigenin;Class;Flavones;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''	''olive oil''	''Whole grain cereal products''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;
'2-(4-hydroxyphenyl)ethanol';Class;Tyrosols;"''olive oil''";;
'4-methylumbelliferone beta-D-glucuronide';Class;'Coumarin glycosides';"''vegetable food product''	''plant fruit food product''";;
'4-methylumbelliferone sulfate';Class;'Coumarins and derivatives';"''vegetable food product''	''plant fruit food product''";;
cardol;Class;Resorcinols;"''Whole grain cereal products''";;
'1,7-dimethylxanthine';Class;Xanthines;"''tea based beverage product''	''coffee based beverage product''	''cacao food product''";;
'3-phenyllactic acid';Class;'Phenylpropanoic acids';"''nut (whole or part)''	''soybean (whole)''	''Whole grain cereal products''	''meat food product''	''dairy food product''	''legume food product''	''egg food product''";;
'alpha-linolenic acid';Class;'Lineolic acids and derivatives';"''nut (whole or part)''";;
phenylacetylglycine;Class;'N-acyl-alpha amino acids and derivatives';"''Whole grain cereal products''	''meat food product''	''dairy food product''	''legume food product''	''egg food product''	''nut (whole or part)''	''soybean (whole)''";;
zeaxanthin;Class;Xanthophylls;"''vegetable food product''	''plant fruit food product''";;
'N(pros)-methyl-L-histidine';Class;'Histidine and derivatives';"'fish'	''Lean meat''";;
caffeine;Class;Xanthines;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'isoferulic acid';Class;'Hydroxycinnamic acids';"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''legume food product''	''vegetable food product''	''Whole grain cereal products''	''olive oil''	''plant fruit food product''	''red wine''	''nut (whole or part)''";;
'(5-hydroxyindol-3-yl)acetic acid';Class;'Indole-3-acetic acid derivatives';"''dairy food product''	''meat food product''	''legume food product''	''egg food product''	''soybean (whole)''	''nut (whole or part)''	''Whole grain cereal products''";;
CHEBI_27881;Class;Stilbenes;"''grape (whole, raw)''	''red wine''";;
'elaidic acid';Class;'Long-chain fatty acids';"''Red meat''	''dairy food product''";;
genistein;Class;Isoflavones;"''legume food product''	''soybean (whole)''";;
'all-cis-docosa-4,7,10,13,16,19-hexaenoic acid';Class;'Very long-chain fatty acids';"'fish'";;
theophylline;Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
daidzein;Class;Isoflavones;"''soybean (whole)''	''legume food product''";;
'all-cis-5,8,11,14,17-icosapentaenoic acid';Class;'Long-chain fatty acids';"'fish'";;
solanidine;Class;'Solanidines and derivatives';"''potato (whole, raw)''";;
'(2-hydroxyphenyl)acetic acid';Class;'2(hydroxyphenyl)acetic acids';"''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;
kaempferol;Class;Flavonols;"''vegetable food product''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''olive oil''	''tea based beverage product''	''coffee based beverage product''	''legume food product''";;
guaiacol;Class;Methoxyphenols;"''coffee based beverage product''	''vegetable food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''tea based beverage product''	''olive oil''	''cacao food product''	''Whole grain cereal products''";;
'3-O-methylgallic acid';Class;'Gallic acid and derivatives';"''coffee based beverage product''	''olive oil''	''red wine''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''";;
fructose;Class;'C-glycosyl compounds';"'sugar'	''plant fruit food product''	''soft drink''";;
theobromine;Class;Xanthines;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'4-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''nut (whole or part)''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''legume food product''";;
'3-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''red wine''	''legume food product''";;
'citric acid';Class;'Tricarboxylic acids and derivatives';"''vegetable food product''	''plant fruit food product''";;
'gallic acid';Class;'Gallic acids';"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''olive oil''";;
'vanillic acid';Class;'M-methoxybenzoic acids and derivatives';"''Whole grain cereal products''	''red wine''	''vegetable food product''	''tea based beverage product''	''legume food product''	''coffee based beverage product''	''nut (whole or part)''	''cacao food product''	''olive oil''	''plant fruit food product''";;
'delphinidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;
'malvidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;
'pelargonidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''berry (whole, raw)''	''red wine''";;
saccharin;Class;Benzothiazoles;"''soft drink (dietetic)''";;
sucralose;Class;'C-glycosyl compounds';"''soft drink (dietetic)''";;
'trans-3-coumaric acid';Class;'Hydroxycinnamic acids';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''legume food product''";;
'heptadecanoic acid';Class;'Long-chain fatty acids';"''dairy food product''";;
'trans-4-coumaric acid';Class;'Hydroxycinnamic acids';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''red wine''	''olive oil''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
5-acetamido-6-formamido-3-methyluracil;Class;Hydroxypyrimidines;"''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
'9-cis,11-trans-octadecadienoic acid';Class;'Lineolic acids and derivatives';"''dairy food product''	''Red meat''";;
'phloretic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''red wine''	''legume food product''";;
equol;Class;Isoflavanols;"''legume food product''	''soybean (whole)''";;
'(6'R)-beta,epsilon-carotene';Class;Carotenes;"''plant fruit food product''	''vegetable food product''";;
'L-proline betaine';Class;'Proline and derivatives';"''citrus fruit food product''";;
cis-resveratrol;Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;
'vaccenic acid';Class;'Long-chain fatty acids';"''Red meat''	''dairy food product''";;
'3,5-dihydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''vegetable food product''	''plant fruit food product''	''red wine''	''legume food product''	''nut (whole or part)''";;
'2-(2-carboxyethyl)-4-methyl-5-propylfuran-3-carboxylic acid';Class;'Furanoid fatty acids';"'fish'";;
'indoxyl sulfate';Class;Arylsulfates;"''egg food product''	''soybean (whole)''	''nut (whole or part)''	''Whole grain cereal products''	''dairy food product''	''legume food product''	''meat food product''";;
L-rhamnitol;Class;Hexoses;"''apple (whole)''";;
S-methylcysteine;Class;'Cysteine and derivatives';"''Onion family vegetables''	''garlic (whole, raw)''";;
dihydroresveratrol;Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;
'(-)-epigallocatechin 3-gallate';Class;'Catechin gallates';"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''";;
ergothioneine;Class;'Histidine and derivatives';"''mushroom food product''";;
'3-(3,4-dihydroxyphenyl)propanoic acid';Class;'Phenylpropanoic acids';"''cacao food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;
7-methylxanthine;Class;Xanthines;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'3,4-dihydroxybenzaldehyde';Class;Benzaldehydes;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'N(tele)-methyl-L-histidine';Class;'Histidine and derivatives';"''Red meat''	''Lean meat''";;
'homovanillic acid';Class;Methoxyphenols;"''coffee based beverage product''	''vegetable food product''	''legume food product''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''olive oil''	''plant fruit food product''";;
O-acetyl-L-carnitine;Class;'Acyl carnitines';"''Lean meat''	''Red meat''";;
'Isochlorogenic acid b';Class;'Quinic acids and derivatives';"''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''vegetable food product''";;
isorhamnetin;Class;Flavonols;"''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;
3-methyl-9H-xanthine;Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
DIBOA;Class;Benzoxazinones;"''Whole grain cereal products''";;
HBOA;Class;Benzoxazinones;"''Whole grain cereal products''";;
'3-hydroxy-4-methoxybenzoic acid';Class;'P-methoxybenzoic acids and derivatives';"''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''	''tea based beverage product''	''olive oil''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''Whole grain cereal products''";;
'3-(3-sulfooxyphenyl)propanoic acid';Class;Phenylsulfates;"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''olive oil''	''red wine''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'malic acid';Class;'Beta hydroxy acids and derivatives';"''apple (whole)''";;
'maslinic acid';Class;Triterpenoids;"''olive oil''";;
'syringic acid';Class;'Gallic acid and derivatives';"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'1-methyluric acid';Class;Xanthines;"''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
1-methyl-7H-xanthine;Class;Xanthines;"''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
'1,3-dimethyluric acid';Class;Xanthines;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'1,7-dimethyluric acid';Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'2,6-dihydroxybenzoic acid';Class;'Salicylic acids';"''Whole grain cereal products''	''vegetable food product''	''olive oil''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'pyrocatechol sulfate';Class;Phenylsulfates;"''olive oil''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''Whole grain cereal products''	''vegetable food product''";;
'3,7-dimethyluric acid';Class;Xanthines;"''tea based beverage product''	''coffee based beverage product''	''cacao food product''";;
hydroxytyrosol;Class;Tyrosols;"''olive oil''";;
'1,3,7-trimethyluric acid';Class;Xanthines;"''tea based beverage product''	''coffee based beverage product''	''cacao food product''";;
'cyclo(L-Pro-L-Val)';Class;'Alpha amino acids and derivatives';"''coffee based beverage product''	''cacao food product''";;
'm-hydroxyhippuric acid';Class;'Hippuric acids';"''olive oil''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
'p-hydroxyhippuric acid';Class;'Hippuric acids';"''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''plant fruit food product''	''legume food product''	''vegetable food product''";;
'1-salicylate glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''red wine''	''vegetable food product''	''tea based beverage product''	''legume food product''	''coffee based beverage product''	''nut (whole or part)''	''cacao food product''	''plant fruit food product''	''olive oil''";;
S-allylcysteine;Class;'Cysteine and derivatives';"''garlic (whole, raw)''	''Onion family vegetables''";;
'procyanidin B2';Class;'Biflavonoids and polyflavonoids';"''berry (whole, raw)''	''red wine''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''";;
'kaempferol 3-O-glucuronide';Class;Flavonoid-3-O-glucuronides;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'luteolin 3'-O-glucuronide';Class;'Flavonoid O-glucuronides';"''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''";;
'(+)-epicatechin-3-O-gallate';Class;'Catechin gallates';"''apple (whole)''	''nut (whole or part)''	''red wine''	''cacao food product''	''tea based beverage product''	''berry (whole, raw)''";;
'sinapic acid';Class;'Hydroxycinnamic acids';"''plant fruit food product''	''legume food product''	''tea based beverage product''	''olive oil''	''cacao food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''coffee based beverage product''	''vegetable food product''";;
DIBOA-glucoside;Class;'O-glycosyl compounds';"''Whole grain cereal products''";;
Enterodiol;Class;'Dibenzylbutanediol lignans';"''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
trans-piceid;Class;'Stilbene glycosides';"''red wine''	''grape (whole, raw)''";;
Arsenobetaine;Class;'Tetraorganoarsonium salts';"''seafood product''";;
'N-(2-furoyl)glycine';Class;'N-acyl-alpha amino acids and derivatives';"''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''";;
'p-cresol sulfate';Class;Phenylsulfates;"''meat food product''	''dairy food product''	''Whole grain cereal products''	''nut (whole or part)''	''egg food product''	''legume food product''	''soybean (whole)''";;
dihydroresveratrol-3-O-sulfate;Class;Stilbenes;"''grape (whole, raw)''	''red wine''";;
dihydroresveratrol-3-O-beta-D-glucuronide;Class;'Stilbene glycosides';"''grape (whole, raw)''	''red wine''";;
resveratrol-3-O-sulfate;Class;Stilbenes;"''grape (whole, raw)''	''red wine''";;
'trans-4-hydroxy-L-proline betaine';Class;'Proline and derivatives';"''citrus fruit food product''";;
epicatechin;Class;Catechins;"''apple (whole)''	''tea based beverage product''	''cacao food product''	''red wine''	''nut (whole or part)''	''berry (whole, raw)''";;
'2-hydroxyhippuric acid';Class;'Hippuric acids';"''nut (whole or part)''	''legume food product''	''plant fruit food product''	''red wine''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;
tomatidine;Class;'Spirosolanes and derivatives';"''tomato (whole, raw)''";;
Foods;Class;owl:Thing;;;
'Unfermented milk products';Class;'milk or milk based food product';;;
'Fermented alcohols';Class;'plant based alcoholic beverage';;;
Infusions;Class;'beverage food product';;;
'Fruits and vegetables';Class;Foods;;;
blanquette;Class;'Non vegetarian dishes';;"'veal'	'butter'	''carrot root (whole, raw)''";
'vegetarian bolognese';Class;'Vegetarian dishes';;"''vegetable food product''	''tomato (whole, raw)''	''soybean (whole)''";
'vegetarian fajitas';Class;'Vegetarian dishes';;"'flour'	''vegetable food product''";
filled;Class;'Non vegetarian dishes';;"''meat food product''	''vegetable food product''	''cheese food product''	'flour'";
'vegetarian lasagne';Class;'Vegetarian dishes';;"''onion (whole, raw)''	''olive oil''	'pasta'	''cow milk (fluid)''	''garlic (whole, raw)''	''wine (food product)''	''tomato (whole, raw)''";
'vegetarian pizza';Class;'Vegetarian dishes';;"''vegetable food product''	'flour'	''cheese food product''";
'vegetarian quiche';Class;'Vegetarian dishes';;"''nut (whole or part)''	'flour'	''cow milk (fluid)''	''cheese food product''	''hen egg (whole)''	''black pepper food product''";
'vegetarian taco';Class;'Vegetarian dishes';;"'flour'	''vegetable food product''";
'meat wrap';Class;'Non vegetarian dishes';;"''meat food product''	''vegetable food product''	''bread food product''";
'vegetarian wrap';Class;'Vegetarian dishes';;"''bread food product''	''vegetable food product''";
'vegetarian chilli';Class;'Vegetarian dishes';;"''vegetable food product''	''soybean (whole)''";
'vegetarian curry';Class;'Vegetarian dishes';;"''tomato (whole, raw)''	'spice'	''onion (whole, raw)''	''vegetable food product''";
'vegetarian omelette';Class;'Vegetarian dishes';;"''cow milk (fluid)''	''hen egg (whole)''";
'Dark yellow vegetables';Class;'vegetable food product';;;
'Fat vegetables';Class;'vegetable food product';;;
'Fruity vegetables';Class;'vegetable food product';;;
'Onion family vegetables';Class;'vegetable food product';;;
'Nuts and legumes';Class;Foods;;;
cereal;Class;'grain product';;;
'Whole grain cereal products';Class;'cereal food product';;;
wholegrain;Class;'Whole grain cereal products';;;
Biomarkers;Class;owl:Thing;;;
'Baking goods';Class;sugar;;;
Confectioneries;Class;sugar;;;
'Lean meat';Class;'meat food product';;;
'Red meat';Class;'meat food product';;;
'3-hydroxybenzoic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''plant fruit food product''	''legume food product''	''vegetable food product''";;
'4-hydroxybenzoic acid glucuronide';Class;'Phenolic glycosides';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''legume food product''";;
'2-hydroxybenzoic acid sulfate';Class;Phenylsulfates;"''vegetable food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''olive oil''	''cacao food product''	''plant fruit food product''	''legume food product''";;
'3-hydroxybenzoic acid sulfate';Class;Phenylsulfates;"''nut (whole or part)''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''tea based beverage product''	''plant fruit food product''	''legume food product''	''red wine''";;
'4-hydroxybenzoic acid sulfate';Class;Phenylsulfates;"''legume food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''plant fruit food product''	''olive oil''	''red wine''	''nut (whole or part)''";;
'2,4-dihydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''legume food product''	''vegetable food product''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''olive oil''	''plant fruit food product''";;
'3,4-dihydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''plant fruit food product''	''legume food product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''";;
'3,4-dihydroxybenzoic acid 3-glucuronide';Class;'Hydrolyzable tannins';"''coffee based beverage product''	''olive oil''	''tea based beverage product''	''red wine''	''cacao food product''	''Whole grain cereal products''	''plant fruit food product''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
