"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"taurine","Organosulfonic acids","10675782 | 1091","HMDB00251","C00245 | D00047","1123 | 4068592","XOAAWQZATWQOTB-UHFFFAOYSA-N","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","FOBI:030709"
"lycopene","Carotenes","394156","HMDB03000","C05432","446925","OAIJSZIZWZSQBC-GYZMGTAESA-N","InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+","FOBI:030748"
"cyclohexylsulfamic acid","Cyclamates","15484224",NA,"C02824 | D02442","7533","HCAJEUSONLESMK-UHFFFAOYSA-N","InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)","FOBI:030625"
"chlorogenic acid","Quinic acids and derivatives","1405788","HMDB03164","C00852","1794427","CWVRJTMFETXNAD-JUHZACGLSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1","FOBI:030397"
"pyrogallol","5-unsubstituted pyrrogallols","13760300 | 13835557",NA,"C01108","1057","WQGWDDDVZFFDIG-UHFFFAOYSA-N","InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H","FOBI:030432"
"oleic acid","Long-chain fatty acids",NA,"HMDB00207 | HMDB00573","C00712","445639","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-","FOBI:030741"
"3-hydroxybenzaldehyde","Benzaldehydes",NA,NA,"C03067","101","IAVREABSGIHHMO-UHFFFAOYSA-N","InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H","FOBI:030453"
"quercetin","Flavonols","15139441 | 4444051","HMDB05794","C00389","5280343","REFJWTPEDVJJIY-UHFFFAOYSA-N","InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H","FOBI:030558"
"phytanic acid","Acyclic diterpenoids","25001","HMDB00801","C01607","26840","RLCKHJSFHOZMDR-UHFFFAOYSA-N","InChI=1S/C20H40O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h16-19H,6-15H2,1-5H3,(H,21,22)","FOBI:08823"
"trans-5-O-caffeoyl-D-quinic acid","Quinic acids and derivatives","4444237",NA,"C17147","5280633","CWVRJTMFETXNAD-NXLLHMKUSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1","FOBI:030399"
"indole-3-acetic acid","Indole-3-acetic acid derivatives","780","HMDB00197","C00954","802","SEOVTRFCIGRIMH-UHFFFAOYSA-N","InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)","FOBI:030704"
"DIMBOA glucoside","O-glycosyl compounds","9307589",NA,"C04831","11132470","WTGXAWKVZMQEDA-XGHDNVSXSA-N","InChI=1S/C15H19NO10/c1-23-6-2-3-7-8(4-6)24-15(13(21)16(7)22)26-14-12(20)11(19)10(18)9(5-17)25-14/h2-4,9-12,14-15,17-20,22H,5H2,1H3/t9-,10-,11+,12-,14+,15?/m1/s1","FOBI:030737"
"creatinine","Alpha amino acids and derivatives","13325157 | 568","HMDB00562","C00791 | D03600","588","DDRJAANPRJIHGJ-UHFFFAOYSA-N","InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)","FOBI:030708"
"L-tryptophan","Indolyl carboxylic acids and derivatives",NA,"HMDB00929","C00078 | D00020","6305 | 6923516","QIVBCDIJIAJPQS-VIFPVBQESA-N","InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1","FOBI:030701"
"salicylic acid","Salicylic acids","14879126 | 16373679 | 331","HMDB01895","C00805 | D00097","338","YGSDEFSMJLZEOE-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)","FOBI:030318"
"beta-alanine","Beta amino acids and derivatives","16382018 | 234","HMDB00056","C00099 | D07561","239 | 4755801","UCMIRNVEIXFBKS-UHFFFAOYSA-N","InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)","FOBI:030691"
"4-methylcatechol","Catechols","13200746","HMDB00873","C06730","9958","ZBCATMYQYDCTIZ-UHFFFAOYSA-N","InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3","FOBI:030447"
"phloretin","2-Hydroxy-dihydrochalcones",NA,"HMDB03306","C00774","4788","VGEREEWJJVICBM-UHFFFAOYSA-N","InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","FOBI:030568"
"L-phenylalanine","Phenylalanine and derivatives",NA,"HMDB00159","C00079 | D00021","6140 | 6925665","COLNVLDHVKWLRT-QMMMGPOBSA-N","InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1","FOBI:030692"
"bergaptol","5-hydroxypsoralens","4444066",NA,"C00758","5280371","GIJHDGJRTUSBJR-UHFFFAOYSA-N","InChI=1S/C11H6O4/c12-10-2-1-6-9(15-10)5-8-7(11(6)13)3-4-14-8/h1-5,13H","FOBI:030523"
"3-(4-hydroxyphenyl)lactic acid","Phenylpropanoic acids",NA,"HMDB00755","C03672","9378","JVGVDSSUAVXRDY-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)","FOBI:030694"
"cis-caffeic acid","Hydroxycinnamic acids","1266077","HMDB01964",NA,"1549111","QAIPRVGONGVQAS-RQOWECAXSA-N","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-","FOBI:030392"
"cyanocob(III)alamin","Catechin gallates",NA,"HMDB0000607","C02823","129627537","FDJOLVPMNUYSCM-WZHZPDAFSA-L","InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;-1;+3/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;/m1../s1","FOBI:030744"
"3-hydroxyphenylacetic acid","1-hydroxy-4-unsubstituted benzenoids","16253543","HMDB00440","C05593","12122","FVMDYYGIDFPZAX-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","FOBI:030369"
"biochanin A","4-O-methylisoflavones","4444068","HMDB02338","C00814","5280373","WUADCCWRTIWANL-UHFFFAOYSA-N","InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3","FOBI:030547"
"beta-carotene","Carotenes","4444129","HMDB00561","C02094","5280489","OENHQHLEOONYIE-JLTXGRSLSA-N","InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+","FOBI:030747"
"4-hydroxybenzaldehyde","Benzaldehydes","123 | 16234504","HMDB11718","C00633","126","RGHHSNMVTDWUBI-UHFFFAOYSA-N","InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H","FOBI:030454"
"ferulic acid","Hydroxycinnamic acids","393368","HMDB00954","C01494","445858","KSEBMYQBYZTDHS-HWKANZROSA-N","InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+","FOBI:030406"
"N-feruloylglycine","N-acyl-alpha amino acids and derivatives","4444158",NA,"C02564","5280527","CLGNQAIRBLDHIN-HWKANZROSA-N","InChI=1S/C12H13NO5/c1-18-10-6-8(2-4-9(10)14)3-5-11(15)13-7-12(16)17/h2-6,14H,7H2,1H3,(H,13,15)(H,16,17)/b5-3+","FOBI:030674"
"(S)-naringenin","Flavanones","388383","HMDB02670","C00509","439246","FTVWIRXFELQLPI-ZDUSSCGKSA-N","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1","FOBI:030514"
"p-cresol","Para cresols","13285340 | 13839082","HMDB01858","C01468","2879","IWDCLRJOBJJRNH-UHFFFAOYSA-N","InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3","FOBI:030698"
"N(2)-phenylacetyl-L-glutamine","N-acyl-alpha amino acids and derivatives","83292","HMDB06344","C04148","92258","JFLIEFSWGNOPJJ-JTQLQIEISA-N","InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1","FOBI:030696"
"L-tyrosine","Tyrosine and derivatives",NA,"HMDB00158","C00082 | D00022","6057 | 6942100","OUYCCCASQSFEME-QMMMGPOBSA-N","InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1","FOBI:030697"
"sucrose","O-glycosyl compounds",NA,"HMDB00258","C00089 | D00025","5988","CZMRCDWAGMRECN-UGDNZRGBSA-N","InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1","FOBI:030757"
"DIMBOA","Benzoxazinones",NA,NA,"C04720","2358","GDNZNIJPBQATCZ-UHFFFAOYSA-N","InChI=1S/C9H9NO5/c1-14-5-2-3-6-7(4-5)15-9(12)8(11)10(6)13/h2-4,9,12-13H,1H3","FOBI:030736"
"formononetin","4-O-methylisoflavones","4444070","HMDB05808","C00858","5280378","HKQYGTCOTHHOMP-UHFFFAOYSA-N","InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3","FOBI:030550"
"N-benzoylglycine","Hippuric acids","10658403 | 451","HMDB00714","C01586","464","QIAFMBKCNZACKA-UHFFFAOYSA-N","InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)","FOBI:030340"
"trans-4-hydroxy-L-proline","Proline and derivatives",NA,"HMDB00725","C01157","5810 | 6971053","PMMYEEVYMWASQN-DMTCNVIQSA-N","InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1","FOBI:08828"
"4-hydroxyphenylacetic acid","1-hydroxy-2-unsubstituted benzenoids","124 | 14485716","HMDB00020","C00642","127","XQXPVVBIMDBYFF-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","FOBI:030370"
"2-aminophenol","Aniline and substituted anilines","11613535 | 14598679",NA,"C01987","5801","CDAWCLOXVUBKRW-UHFFFAOYSA-N","InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2","FOBI:030671"
"N-methylnicotinate","Alkaloids and derivatives",NA,"HMDB00875","C01004","5570","WWNNZCOKKKDOPX-UHFFFAOYSA-N","InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3","FOBI:030712"
"trans-2-coumaric acid","Hydroxycinnamic acids","553146","HMDB02641","C01772","637540","PMOWTIHVNWZYFI-AATRIKPKSA-N","InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)/b6-5+","FOBI:030383"
"catechol","Catechols","11181185 | 11316606 | 13623450 | 13837760 | 14453269","HMDB00957","C00090 | C01785 | C15571","289","YCIMNLLNPGFGHC-UHFFFAOYSA-N","InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H","FOBI:030444"
"anserine","Hybrid peptides",NA,"HMDB00194","C01262","112072 | 6992114","MYYIAHXIVFADCU-QMMMGPOBSA-N","InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1","FOBI:030688"
"vanillin","Methoxyphenols","13860434","HMDB12308","C00755 | D00091","1183","MWOOGOJBHIARFG-UHFFFAOYSA-N","InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3","FOBI:030457"
"apigenin","Flavones","4444100","HMDB02124","C01477","5280443","KZNIFHPLKGYRTM-UHFFFAOYSA-N","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H","FOBI:030553"
"2-(4-hydroxyphenyl)ethanol","Tyrosols",NA,"HMDB04284","C06044","10393","YCCILVSKPBXVIP-UHFFFAOYSA-N","InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2","FOBI:030579"
"4-methylumbelliferone beta-D-glucuronide","Coumarin glycosides","82667",NA,"C11584","91553","ARQXEQLMMNGFDU-JHZZJYKESA-N","InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14-,16+/m0/s1","FOBI:030528"
"4-methylumbelliferone sulfate","Coumarins and derivatives","76536",NA,"C11585","84843","FUYLLJCBCKRIAL-UHFFFAOYSA-N","InChI=1S/C10H8O6S/c1-6-4-10(11)15-9-5-7(2-3-8(6)9)16-17(12,13)14/h2-5H,1H3,(H,12,13,14)","FOBI:030529"
"cardol","Resorcinols","69081",NA,"C10809","76617","KVVSCMOUFCNCGX-UHFFFAOYSA-N","InChI=1S/C21H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-16-20(22)18-21(23)17-19/h16-18,22-23H,2-15H2,1H3","FOBI:030718"
"1,7-dimethylxanthine","Xanthines",NA,"HMDB01860","C13747","4687","QUNWUDVFRNGTCO-UHFFFAOYSA-N","InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)","FOBI:030655"
"3-phenyllactic acid","Phenylpropanoic acids",NA,"HMDB00779",NA,"3848","VOXXWSYKYCBWHO-UHFFFAOYSA-N","InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)","FOBI:030693"
"alpha-linolenic acid","Lineolic acids and derivatives","4444437","HMDB01388","C06427","5280934","DTOSIQBPPRVQHS-PDBXOOCHSA-N","InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-","FOBI:030740"
"phenylacetylglycine","N-acyl-alpha amino acids and derivatives","61452","HMDB00821","C05598","68144","UTYVDVLMYQPLQB-UHFFFAOYSA-N","InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)","FOBI:030695"
"zeaxanthin","Xanthophylls","4444421","HMDB02789","C06098","5280899","JKQXZKUSFCKOGQ-QAYBQHTQSA-N","InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-24,35-36,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35-,36-/m1/s1","FOBI:030750"
"N(pros)-methyl-L-histidine","Histidine and derivatives","58494","HMDB00479","C01152","64969 | 6971061","JDHILDINMRGULE-LURJTMIESA-N","InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1","FOBI:030690"
"caffeine","Xanthines",NA,"HMDB01847","C07481 | D00528","2519","RYYVLZVUVIJVGH-UHFFFAOYSA-N","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","FOBI:030658"
"isoferulic acid","Hydroxycinnamic acids","643318","HMDB00955","C10470","736186","QURCVMIEKCOAJU-HWKANZROSA-N","InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+","FOBI:030407"
"(5-hydroxyindol-3-yl)acetic acid","Indole-3-acetic acid derivatives",NA,"HMDB00763","C05635","1826","DUUGKQCEGZLZNO-UHFFFAOYSA-N","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)","FOBI:030705"
"CHEBI_27881","Stilbenes","392875","HMDB03747","C03582","445154","LUKBXSAWLPMMSZ-OWOJBTEDSA-N","InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+","FOBI:030590"
"elaidic acid","Long-chain fatty acids","14881358 | 553123",NA,"C01712","637517","ZQPPMHVWECSIRJ-MDZDMXLPSA-N","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9+","FOBI:08824"
"genistein","Isoflavones","4444448","HMDB03217","C06563","5280961","TZBJGXHYKVUXJN-UHFFFAOYSA-N","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H","FOBI:030537"
"all-cis-docosa-4,7,10,13,16,19-hexaenoic acid","Very long-chain fatty acids",NA,"HMDB02183","C06429","445580","MBMBGCFOFBJSGT-KUBAVDMBSA-N","InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-","FOBI:030743"
"theophylline","Xanthines",NA,"HMDB01889","C07130 | D00371","2153","ZFXYFBGIUFBOJW-UHFFFAOYSA-N","InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)","FOBI:030656"
"daidzein","Isoflavones","4445025","HMDB03312","C10208","5281708","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H","FOBI:030530"
"all-cis-5,8,11,14,17-icosapentaenoic acid","Long-chain fatty acids",NA,"HMDB01999","C06428 | D08061","446284","JAZBEHYOTPTENJ-JLNKQSITSA-N","InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-","FOBI:030742"
"solanidine","Solanidines and derivatives","59150","HMDB03236","C06543","65727","JVKYZPBMZPJNAJ-OQFNDJACSA-N","InChI=1S/C27H43NO/c1-16-5-8-23-17(2)25-24(28(23)15-16)14-22-20-7-6-18-13-19(29)9-11-26(18,3)21(20)10-12-27(22,25)4/h6,16-17,19-25,29H,5,7-15H2,1-4H3/t16-,17+,19-,20+,21-,22-,23+,24-,25-,26-,27-/m0/s1","FOBI:030716"
"(2-hydroxyphenyl)acetic acid","2(hydroxyphenyl)acetic acids","14600741","HMDB00669","C05852","11970","CCVYRRGZDBSHFU-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","FOBI:030368"
"kaempferol","Flavonols","4444395","HMDB05801","C05903","5280863","IYRMWMYZSQPJKC-UHFFFAOYSA-N","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","FOBI:030565"
"guaiacol","Methoxyphenols","10658433 | 11337764 | 13834869 | 14859414 | 447","HMDB01398","C01502 | C15572 | D00117","460","LHGVFZTZFXWLCP-UHFFFAOYSA-N","InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3","FOBI:030452"
"3-O-methylgallic acid","Gallic acid and derivatives",NA,NA,"C05616","19829","KWCCUYSXAYTNKA-UHFFFAOYSA-N","InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)","FOBI:030358"
"fructose","C-glycosyl compounds","388775","HMDB00660","C02336","439709","RFSUNEUAIZKAJO-ARQDHWQXSA-N","InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1","FOBI:030759"
"theobromine","Xanthines","11181178","HMDB02825","C07480","5429","YAPQBXQYLJRXSA-UHFFFAOYSA-N","InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)","FOBI:030657"
"4-hydroxybenzoic acid","Hydroxybenzoic acid derivatives","10732368 | 132 | 15957696","HMDB00500","C00156","135 | 3702506","FJKROLUGYXJWQN-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)","FOBI:030320"
