Entity;Type;Superclass(es);ChemSpider;HMDB;KEGG;PubChemCID;InChIKey;InChICode;FOBI;rdfs:label;
'n-(2-hydroxyphenyl)acetamide glucuronide';Class;'Phenolic glycosides';;;;;"'PRQFWBNVZNICDN-JUSQZNFGSA-N'";"'InChI=1S/C13H15NO9/c15-7-8(16)10(11(18)19)23-12(9(7)17)22-6-4-2-1-3-5(6)14-13(20)21/h1-4,7-10,12,14-17H,(H,18,19)(H,20,21)/t7-,8?,9?,10-,12+/m0/s1'";"'FOBI:030620'";"'n-(2-hydroxyphenyl)acetamide glucuronide'";
'n-(2-hydroxyphenyl)acetamide sulfate';Class;Phenylsulfates;;;;"'181671'";"'JCVGTUVGDOWZJE-UHFFFAOYSA-N'";"'InChI=1S/C8H9NO5S/c1-6(10)9-7-4-2-3-5-8(7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)'";"'FOBI:030621'";"'n-(2-hydroxyphenyl)acetamide sulfate'";
'1-hydroxypyrene glucuronide';Class;Pyrenes;;;;"'59751652'";"'BUCREAQPYGLZLI-SXFAUFNYSA-N'";"'InChI=1S/C22H18O7/c23-17-18(24)20(21(26)27)29-22(19(17)25)28-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17-20,22-25H,(H,26,27)/t17-,18-,19+,20-,22+/m0/s1'";"'FOBI:030622'";"'1-hydroxypyrene glucuronide'";
'atractyligenin 2-glucuronide';Class;'Kaurane diterpenoids';;;;;;"'InChI=1S/C25H36O10/c1-10-11-3-4-15-24(2)9-12(34-23-18(28)16(26)17(27)19(35-23)22(32)33)7-13(21(30)31)14(24)5-6-25(15,8-11)20(10)29/h11-20,23,26-29H,1,3-9H2,2H3,(H,30,31)(H,32,33)/t11-,12-,13-,14-,15+,16+,17+,18-,19+,20+,23-,24-,25-/m1/s1'";"'FOBI:030623'";"'atractyligenin 2-glucuronide'";
'acesulfame k';Class;'Organic sulfuric acids and derivatives';"'55940'";;"'D08836'";"'11074431 | 23683747'";"'WBZFUFAFFUEMEI-UHFFFAOYSA-M'";"'InChI=1S/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1'";"'FOBI:030624'";"'acesulfame k'";
'ethyl glucuronide';Class;Glucuronides;"'19355701'";"'HMDB10325'";;"'18392195'";"'IWJBVMJWSPZNJH-UQGZVRACSA-N'";"'InChI=1S/C8H14O7/c1-2-14-8-5(11)3(9)4(10)6(15-8)7(12)13/h3-6,8-11H,2H2,1H3,(H,12,13)/t3-,4-,5+,6-,8+/m0/s1'";"'FOBI:030628'";"'ethyl glucuronide'";
'ethyl sulfate';Class;'Sulfuric acid monoesters';"'14206177'";;;"'57448826 | 6004'";"'KIWBPDUYBMNFTB-UHFFFAOYSA-N'";"'InChI=1S/C2H6O4S/c1-2-6-7(3,4)5/h2H2,1H3,(H,3,4,5)'";"'FOBI:030629'";"'ethyl sulfate'";
'cyanidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;;;;"'197081'";"'YTMNONATNXDQJF-UBNZBFALSA-N'";"'InChI=1S/C21H20O11.ClH/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8;/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26);1H/t16-,17-,18+,19-,21-;/m1./s1'";"'FOBI:030633'";"'cyanidin 3-glucoside'";
'peonidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;"'391786'";;"'C12141'";"'443654'";"'ZZWPMFROUHHAKY-OUUKCGNVSA-O'";"'InChI=1S/C22H22O11/c1-30-15-4-9(2-3-12(15)25)21-16(7-11-13(26)5-10(24)6-14(11)31-21)32-22-20(29)19(28)18(27)17(8-23)33-22/h2-7,17-20,22-23,27-29H,8H2,1H3,(H2-,24,25,26)/p+1/t17-,18-,19+,20-,22-/m1/s1'";"'FOBI:030637'";"'peonidin 3-glucoside'";
'petunidin 3-glucoside';Class;Anthocyanidin-3-O-glycosides;;;;"'176449'";"'HBKZHMZCXXQMOX-YATQZQGFSA-N'";"'InChI=1S/C22H22O12.ClH/c1-31-14-3-8(2-12(26)17(14)27)21-15(6-10-11(25)4-9(24)5-13(10)32-21)33-22-20(30)19(29)18(28)16(7-23)34-22;/h2-6,16,18-20,22-23,28-30H,7H2,1H3,(H3-,24,25,26,27);1H/t16-,18-,19+,20-,22-;/m1./s1'";"'FOBI:030638'";"'petunidin 3-glucoside'";
sulforaphane;Class;Sulfoxides;;"'HMDB05792'";;"'5350'";"'SUVMJBTUFCVSAD-UHFFFAOYSA-N'";"'InChI=1S/C6H11NOS2/c1-10(8)5-3-2-4-7-6-9/h2-5H2,1H3'";"'FOBI:030639'";"'sulforaphane'";
sulforaphane-cysteine;Class;'Cysteine and derivatives';"'8577881'";;;"'10402443'";"'PUPMSTCTVNEOCX-ISJKBYAMSA-N'";"'InChI=1S/C9H18N2O3S3/c1-17(14)5-3-2-4-11-9(15)16-6-7(10)8(12)13/h7H,2-6,10H2,1H3,(H,11,15)(H,12,13)/t7-,17?/m0/s1'";"'FOBI:030640'";"'sulforaphane-cysteine'";
sulforaphane-n-acetyl-cysteine;Class;'N-acyl-alpha amino acids and derivatives';;;;"'71772353'";"'IIHBKTCHILXGOT-KMYGYIBBSA-N'";"'InChI=1S/C11H20N2O4S3/c1-8(14)13-9(10(15)16)7-19-11(18)12-5-3-4-6-20(2)17/h9H,3-7H2,1-2H3,(H,12,18)(H,13,14)(H,15,16)/t9-,20?/m0/s1'";"'FOBI:030641'";"'sulforaphane-n-acetyl-cysteine'";
sulforaphane-cysteine-glycine;Class;Oligopeptides;;;;;"'XXNFGCPBPYXDGU-UHFFFAOYSA-N'";"'InChI=1S/C11H21N3O4S3/c1-21(18)5-3-2-4-13-11(19)20-7-8(12)10(17)14-6-9(15)16/h8H,2-7,12H2,1H3,(H,13,19)(H,14,17)(H,15,16)'";"'FOBI:030642'";"'sulforaphane-cysteine-glycine'";
sulforaphane-glutathione;Class;Oligopeptides;;;;"'45040448'";"'ROARKYNVUQLTDP-QGQIPBJJSA-N'";"'InChI=1S/C16H28N4O7S3/c1-30(27)7-3-2-6-18-16(28)29-9-11(14(24)19-8-13(22)23)20-12(21)5-4-10(17)15(25)26/h10-11H,2-9,17H2,1H3,(H,18,28)(H,19,24)(H,20,21)(H,22,23)(H,25,26)/t10-,11-,30?/m0/s1'";"'FOBI:030643'";"'sulforaphane-glutathione'";
iberin;Class;Sulfoxides;;"'HMDB06095'";;"'10455'";"'LELAOEBVZLPXAZ-UHFFFAOYSA-N'";"'InChI=1S/C5H9NOS2/c1-9(7)4-2-3-6-5-8/h2-4H2,1H3'";"'FOBI:030644'";"'iberin'";
iberin-cysteine;Class;'Cysteine and derivatives';;;;;"'TVMBFSAEYQAFEF-UHFFFAOYSA-N'";"'InChI=1S/C8H16N2O3S3/c1-16(13)4-2-3-10-8(14)15-5-6(9)7(11)12/h6H,2-5,9H2,1H3,(H,10,14)(H,11,12)'";"'FOBI:030645'";"'iberin-cysteine'";
iberin-n-acetyl-cysteine;Class;'N-acyl-alpha amino acids and derivatives';;;;;"'RBVJIAJZFANPKT-UHFFFAOYSA-N'";"'InChI=1S/C10H18N2O4S3/c1-7(13)12-8(9(14)15)6-18-10(17)11-4-3-5-19(2)16/h8H,3-6H2,1-2H3,(H,11,17)(H,12,13)(H,14,15)'";"'FOBI:030646'";"'iberin-n-acetyl-cysteine'";
iberin-cysteine-glycine;Class;Oligopeptides;;;;;"'DPNSNZWERSTHLI-UHFFFAOYSA-N'";"'InChI=1S/C10H19N3O4S3/c1-20(17)4-2-3-12-10(18)19-6-7(11)9(16)13-5-8(14)15/h7H,2-6,11H2,1H3,(H,12,18)(H,13,16)(H,14,15)'";"'FOBI:030647'";"'iberin-cysteine-glycine'";
iberin-glutathione;Class;Oligopeptides;;;;;"'VSDUBRGHFZYNJY-UHFFFAOYSA-N'";"'InChI=1S/C15H26N4O7S3/c1-29(26)6-2-5-17-15(27)28-8-10(13(23)18-7-12(21)22)19-11(20)4-3-9(16)14(24)25/h9-10H,2-8,16H2,1H3,(H,17,27)(H,18,23)(H,19,20)(H,21,22)(H,24,25)'";"'FOBI:030648'";"'iberin-glutathione'";
'5-(hydroxymethyl-2-furoyl)glycine';Class;'N-acyl-alpha amino acids and derivatives';"'5020627'";;;"'6537488'";"'HBULKUDERNWOBN-UHFFFAOYSA-N'";"'InChI=1S/C8H9NO5/c10-4-5-1-2-6(14-5)8(13)9-3-7(11)12/h1-2,10H,3-4H2,(H,9,13)(H,11,12)'";"'FOBI:030650'";"'5-(hydroxymethyl-2-furoyl)glycine'";
'3-methyluric acid';Class;Xanthines;;"'HMDB01970'";;"'11804'";"'ODCYDGXXCHTFIR-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O3/c1-10-3-2(7-5(12)8-3)4(11)9-6(10)13/h1H3,(H2,7,8,12)(H,9,11,13)'";"'FOBI:030660'";"'3-methyluric acid'";
'7-methyluric acid';Class;Xanthines;"'62375'";"'HMDB11107'";"'C16355'";"'69160'";"'YHNNPKUFPWLTOP-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O3/c1-10-2-3(8-6(10)13)7-5(12)9-4(2)11/h1H3,(H3,7,8,9,11,12,13)'";"'FOBI:030661'";"'7-methyluric acid'";
'6-amino-5-(n-methylformylamino)-1-methyluracil';Class;N-acetylarylamines;"'8096278'";;;"'9920643'";"'XWCBQDPCEYHYRB-UHFFFAOYSA-N'";"'InChI=1S/C7H10N4O3/c1-3(12)9-4-5(8)11(2)7(14)10-6(4)13/h8H2,1-2H3,(H,9,12)(H,10,13,14)'";"'FOBI:030666'";"'6-amino-5-(n-methylformylamino)-1-methyluracil'";
'cyclo(l-leucyl-l-prolyl)';Class;'Alpha amino acids and derivatives';"'5428292'";;;"'7074739'";"'SZJNCZMRZAUNQT-IUCAKERBSA-N'";"'InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1'";"'FOBI:030668'";"'cyclo(l-leucyl-l-prolyl)'";
'2-amino-1,6-dimethylimidazo[4,5-b]pyridine glucuronide';Class;Glucuronides;;;;;"'SQVPGYDPSLNFET-KSXIZUIISA-N'";"'InChI=1S/C19H20N4O6/c1-23-11-7-10(9-5-3-2-4-6-9)8-20-16(11)21-19(23)22-17-14(26)12(24)13(25)15(29-17)18(27)28/h2-8,12-15,17,24-26H,1H3,(H,27,28)(H,20,21,22)/t12-,13-,14+,15-,17+/m0/s1'";"'FOBI:030670'";"'2-amino-1,6-dimethylimidazo[4,5-b]pyridine glucuronide'";
'2-aminophenol glucuronide';Class;'Phenolic glycosides';"'76843'";;;"'85208'";"'ZVFVTBSWJWONEI-GOVZDWNOSA-N'";"'InChI=1S/C12H15NO7/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12,14-16H,13H2,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1'";"'FOBI:030672'";"'2-aminophenol glucuronide'";
'2-aminophenol sulfate';Class;Phenylsulfates;;;;"'181670'";"'VSTZVCJQGSLNLL-UHFFFAOYSA-N'";"'InChI=1S/C6H7NO4S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4H,7H2,(H,8,9,10)'";"'FOBI:030673'";"'2-aminophenol sulfate'";
vanilloylglycine;Class;'Hippuric acids';"'2340857'";;;"'3083688'";"'LOODYTDRRBLQNH-UHFFFAOYSA-N'";"'InChI=1S/C10H11NO5/c1-16-8-4-6(2-3-7(8)12)10(15)11-5-9(13)14/h2-4,12H,5H2,1H3,(H,11,15)(H,13,14)'";"'FOBI:030675'";"'vanilloylglycine'";
n-acetyl-s-allylcysteine;Class;'N-acyl-alpha amino acids and derivatives';"'134378'";;;"'152467'";"'LKRAEHUDIUJBSF-ZETCQYMHSA-N'";"'InChI=1S/C8H13NO3S/c1-3-4-13-5-7(8(11)12)9-6(2)10/h3,7H,1,4-5H2,2H3,(H,9,10)(H,11,12)/t7-/m0/s1'";"'FOBI:030677'";"'n-acetyl-s-allylcysteine'";
n-acetyl-s-methylcysteine;Class;'N-acyl-alpha amino acids and derivatives';;;;"'13893975'";"'RYGLCORNOFFGTB-YFKPBYRVSA-N'";"'InChI=1S/C6H11NO3S/c1-4(8)7-5(3-11-2)6(9)10/h5H,3H2,1-2H3,(H,7,8)(H,9,10)/t5-/m0/s1'";"'FOBI:030679'";"'n-acetyl-s-methylcysteine'";
's-allylmercapturic acid';Class;'N-acyl-alpha amino acids and derivatives';"'8640899'";;;"'10465488'";"'LKRAEHUDIUJBSF-SSDOTTSWSA-N'";"'InChI=1S/C8H13NO3S/c1-3-4-13-5-7(8(11)12)9-6(2)10/h3,7H,1,4-5H2,2H3,(H,9,10)(H,11,12)/t7-/m1/s1'";"'FOBI:030680'";"'s-allylmercapturic acid'";
'allyl methyl sulfide';Class;'Allyl sulfur compounds';;;;"'66282'";"'NVLPQIPTCCLBEU-UHFFFAOYSA-N'";"'InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3'";"'FOBI:030681'";"'allyl methyl sulfide'";
'allyl methyl sulfoxide';Class;Sulfoxides;"'9063108'";;;"'10887844'";"'JWWFEYMQBBFIRT-UHFFFAOYSA-N'";"'InChI=1S/C4H8OS/c1-3-4-6(2)5/h3H,1,4H2,2H3'";"'FOBI:030682'";"'allyl methyl sulfoxide'";
'allyl methyl sulfone';Class;Sulfones;;;;;"'WOPDMJYIAAXDMN-UHFFFAOYSA-N'";"'InChI=1S/C4H8O2S/c1-3-4-7(2,5)6/h3H,1,4H2,2H3'";"'FOBI:030683'";"'allyl methyl sulfone'";
'p-cresol glucuronide';Class;'Phenolic glycosides';"'135751'";"'HMDB11686'";;"'154035'";"'JPAUCQAJHLSMQW-XPORZQOISA-N'";"'InChI=1S/C13H16O7/c1-6-2-4-7(5-3-6)19-13-10(16)8(14)9(15)11(20-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)/t8-,9-,10+,11-,13+/m0/s1'";"'FOBI:030700'";"'p-cresol glucuronide'";
'indoxyl glucuronide';Class;Glucuronides;"'2015556'";"'HMDB10319'";;"'2733785'";"'KUYNOZVWCFXSNE-BYNIDDHOSA-N'";"'InChI=1S/C14H15NO7/c16-9-10(17)12(13(19)20)22-14(11(9)18)21-8-5-15-7-4-2-1-3-6(7)8/h1-5,9-12,14-18H,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1'";"'FOBI:030703'";"'indoxyl glucuronide'";
α-solanine;Class;'Steroidal saponins';"'230519'";;;"'262500'";"'ZGVSETXHNHBTRK-UHFFFAOYSA-N'";"'InChI=1S/C45H73NO15/c1-19-6-9-27-20(2)31-28(46(27)16-19)15-26-24-8-7-22-14-23(10-12-44(22,4)25(24)11-13-45(26,31)5)57-43-40(61-41-37(54)35(52)32(49)21(3)56-41)39(34(51)30(18-48)59-43)60-42-38(55)36(53)33(50)29(17-47)58-42/h7,19-21,23-43,47-55H,6,8-18H2,1-5H3'";"'FOBI:030715'";"'α-solanine'";
5-n-heptadecylresorcinol;Class;Resorcinols;;;;"'181700'";"'BBGNINPPDHJETF-UHFFFAOYSA-N'";"'InChI=1S/C23H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21-18-22(24)20-23(25)19-21/h18-20,24-25H,2-17H2,1H3'";"'FOBI:030719'";"'5-n-heptadecylresorcinol'";
5-n-nonadecylresorcinol;Class;Resorcinols;;;;"'161858'";"'PUNOCEUUYUXUGR-UHFFFAOYSA-N'";"'InChI=1S/C25H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23-20-24(26)22-25(27)21-23/h20-22,26-27H,2-19H2,1H3'";"'FOBI:030720'";"'5-n-nonadecylresorcinol'";
5-n-heneicosylresorcinol;Class;Resorcinols;"'136952'";;;"'155461'";"'BLHLKJLSYHEOGY-UHFFFAOYSA-N'";"'InChI=1S/C27H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-22-26(28)24-27(29)23-25/h22-24,28-29H,2-21H2,1H3'";"'FOBI:030721'";"'5-n-heneicosylresorcinol'";
5-n-tricosylresorcinol;Class;Resorcinols;"'136953'";;;"'155462'";"'OHTBGMREZYLZQD-UHFFFAOYSA-N'";"'InChI=1S/C29H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-24-28(30)26-29(31)25-27/h24-26,30-31H,2-23H2,1H3'";"'FOBI:030722'";"'5-n-tricosylresorcinol'";
5-n-pentacosylresorcinol;Class;Resorcinols;"'136954'";;;"'155463'";"'GDJMJAKVVSGNLA-UHFFFAOYSA-N'";"'InChI=1S/C31H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-26-30(32)28-31(33)27-29/h26-28,32-33H,2-25H2,1H3'";"'FOBI:030723'";"'5-n-pentacosylresorcinol'";
2-benzoxazolinone;Class;Benzoxazolones;"'10610280 | 13756559'";;;"'6043'";"'ASSKVPFEZFQQNQ-UHFFFAOYSA-N'";"'InChI=1S/C7H5NO2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)'";"'FOBI:030724'";"'2-benzoxazolinone'";
6-methoxy-benzoxazolin-2-one;Class;Benzoxazolones;;;;"'10772'";"'MKMCJLMBVKHUMS-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO3/c1-11-5-2-3-6-7(4-5)12-8(10)9-6/h2-4H,1H3,(H,9,10)'";"'FOBI:030725'";"'6-methoxy-benzoxazolin-2-one'";
2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one;Class;'O-glycosyl compounds';;;;"'14605137'";"'PYQSUTLVBSTCSK-BJPDSMLBSA-N'";"'InChI=1S/C14H17NO8/c16-5-8-9(17)10(18)11(19)13(22-8)23-14-12(20)15-6-3-1-2-4-7(6)21-14/h1-4,8-11,13-14,16-19H,5H2,(H,15,20)/t8-,9-,10+,11-,13+,14?/m1/s1'";"'FOBI:030727'";"'2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one'";
'2-hydroxy-1,4-benzoxazin-3-one glucuronide';Class;Benzoxazinones;;;;;"'PXAGSWBDUVOULJ-CPFHXUIISA-N'";"'InChI=1S/C14H15NO9/c16-7-8(17)10(12(20)21)23-13(9(7)18)24-14-11(19)15-5-3-1-2-4-6(5)22-14/h1-4,7-10,13-14,16-18H,(H,15,19)(H,20,21)/t7-,8?,9?,10-,13-,14?/m1/s1'";"'FOBI:030728'";"'2-hydroxy-1,4-benzoxazin-3-one glucuronide'";
'2-hydroxy-1,4-benzoxazin-3-one sulfate';Class;Benzoxazinones;;;;;"'XQOGGBJDHDDLTI-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO6S/c10-7-8(15-16(11,12)13)14-6-4-2-1-3-5(6)9-7/h1-4,8H,(H,9,10)(H,11,12,13)'";"'FOBI:030729'";"'2-hydroxy-1,4-benzoxazin-3-one sulfate'";
2-hydroxy-7-methoxy-1,4-benzoxazin-3-one;Class;Benzoxazinones;"'134162'";;;"'152213'";"'NDEPTLCFICMYLH-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO4/c1-13-5-2-3-6-7(4-5)14-9(12)8(11)10-6/h2-4,9,12H,1H3,(H,10,11)'";"'FOBI:030730'";"'2-hydroxy-7-methoxy-1,4-benzoxazin-3-one'";
2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one;Class;'O-glycosyl compounds';;;;"'161229'";"'PMBZSEOAOIYRMW-XGHDNVSXSA-N'";"'InChI=1S/C15H19NO9/c1-22-6-2-3-7-8(4-6)23-15(13(21)16-7)25-14-12(20)11(19)10(18)9(5-17)24-14/h2-4,9-12,14-15,17-20H,5H2,1H3,(H,16,21)/t9-,10-,11+,12-,14+,15?/m1/s1'";"'FOBI:030731'";"'2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one'";
'2,4-dihydroxy-1,4-benzoxazin-3-one glucuronide';Class;Benzoxazinones;;;;;"'CKVNYXWAZIGXDC-CPFHXUIISA-N'";"'InChI=1S/C14H15NO10/c16-7-8(17)10(12(20)21)24-13(9(7)18)25-14-11(19)15(22)5-3-1-2-4-6(5)23-14/h1-4,7-10,13-14,16-18,22H,(H,20,21)/t7-,8?,9?,10-,13-,14?/m1/s1'";"'FOBI:030734'";"'2,4-dihydroxy-1,4-benzoxazin-3-one glucuronide'";
'2,4-dihydroxy-1,4-benzoxazin-3-one sulfate';Class;Benzoxazinones;;;;;"'GNPNIYVSUDXFAF-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO7S/c10-7-8(16-17(12,13)14)15-6-4-2-1-3-5(6)9(7)11/h1-4,8,11H,(H,12,13,14)'";"'FOBI:030735'";"'2,4-dihydroxy-1,4-benzoxazin-3-one sulfate'";
'pentadecanoic acid';Class;'Long-chain fatty acids';;"'HMDB00826'";"'C16537'";"'13849'";"'WQEPLUUGTLDZJY-UHFFFAOYSA-N'";"'InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)'";"'FOBI:030738'";"'pentadecanoic acid'";
'ascorbic acid';Class;Furanones;"'559144'";"'HMDB00044'";;;"'TYQCGQRIZGCHNB-MVHIGOERSA-N'";"'InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10-11H,1H2/t2-,5+/m1/s1'";"'FOBI:030745'";"'ascorbic acid'";
lutein;Class;Xanthophylls;"'4938343'";"'HMDB03233'";;"'6433159'";"'KBPHJBAIARWVSC-RTIVXWJOSA-N'";"'InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-25,35-37,41-42H,26-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35?,36-,37+/m1/s1'";"'FOBI:030749'";"'lutein'";
oleuropein;Class;'Terpene glycosides';"'4444876'";;;"'5281544'";"'RFWGABANNQMHMZ-ZCHJGGQASA-N'";"'InChI=1S/C25H32O13/c1-3-13-14(9-19(29)35-7-6-12-4-5-16(27)17(28)8-12)15(23(33)34-2)11-36-24(13)38-25-22(32)21(31)20(30)18(10-26)37-25/h3-5,8,11,14,18,20-22,24-28,30-32H,6-7,9-10H2,1-2H3/b13-3+/t14-,18+,20+,21-,22+,24-,25-/m0/s1'";"'FOBI:030751'";"'oleuropein'";
'oleanolic acid';Class;Triterpenoids;;"'HMDB02364'";"'C17148'";"'10494'";"'MIJYXULNPSFWEK-GTOFXWBISA-N'";"'InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1'";"'FOBI:030752'";"'oleanolic acid'";
d-pinitol;Class;Cyclohexanols;"'144315'";;;"'164619'";"'DSCFFEYYQKSRSV-FEPQRWDDSA-N'";"'InChI=1S/C7H14O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h2-12H,1H3/t2?,3-,4-,5-,6+,7?/m0/s1'";"'FOBI:030755'";"'d-pinitol'";
glucose;Class;Hexoses;"'17341254 | 18503690'";"'HMDB00122'";"'C00031 | D00009'";"'5793'";"'WQZGKKKJIJFFOK-GASJEMHNSA-N'";"'InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1'";"'FOBI:030758'";"'glucose'";
'Phenylpropanoids and polyketides';Class;Biomarkers;;;;;;;"'FOBI:040000'";"'Phenylpropanoids and polyketides'";
Benzenoids;Class;Biomarkers;;;;;;;"'FOBI:040001'";"'Benzenoids'";
'Organic oxygen compounds';Class;Biomarkers;;;;;;;"'FOBI:040002'";"'Organic oxygen compounds'";
'Lipids and lipid-like molecules';Class;Biomarkers;;;;;;;"'FOBI:040003'";"'Lipids and lipid-like molecules'";
'Organic acids and derivatives';Class;Biomarkers;;;;;;;"'FOBI:040004'";"'Organic acids and derivatives'";
'Organoheterocyclic compounds';Class;Biomarkers;;;;;;;"'FOBI:040005'";"'Organoheterocyclic compounds'";
'Lignans, neolignans and related compounds';Class;Biomarkers;;;;;;;"'FOBI:040006'";"'Lignans, neolignans and related compounds'";
'Organosulfur compounds';Class;Biomarkers;;;;;;;"'FOBI:040007'";"'Organosulfur compounds'";
'Organic nitrogen compounds';Class;Biomarkers;;;;;;;"'FOBI:040008'";"'Organic nitrogen compounds'";
'Organometallic compounds';Class;Biomarkers;;;;;;;"'FOBI:040009'";"'Organometallic compounds'";
'Alkaloids and derivatives';Class;Biomarkers;;;;;;;"'FOBI:040010'";"'Alkaloids and derivatives'";
Flavonoids;Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040011'";"'Flavonoids'";
Isoflavonoids;Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040012'";"'Isoflavonoids'";
'Benzene and substituted derivatives';Class;Benzenoids;;;;;;;"'FOBI:040013'";"'Benzene and substituted derivatives'";
'Organooxygen compounds';Class;'Organic oxygen compounds';;;;;;;"'FOBI:040014'";"'Organooxygen compounds'";
'Prenol lipids';Class;'Lipids and lipid-like molecules';;;;;;;"'FOBI:040015'";"'Prenol lipids'";
'Organic sulfuric acids and derivatives';Class;'Organic acids and derivatives';;;;;;;"'FOBI:040016'";"'Organic sulfuric acids and derivatives'";
'Coumarins and derivatives';Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040017'";"'Coumarins and derivatives'";
Benzoxazoles;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040018'";"'Benzoxazoles'";
Phenols;Class;Benzenoids;;;;;;;"'FOBI:040019'";"'Phenols'";
'Hydroxy acids and derivatives';Class;'Organic acids and derivatives';;;;;;;"'FOBI:040020'";"'Hydroxy acids and derivatives'";
Saccharolipids;Class;'Lipids and lipid-like molecules';;;;;;;"'FOBI:040021'";"'Saccharolipids'";
Diarylheptanoids;Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040022'";"'Diarylheptanoids'";
'Phenylpropanoic acids';Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040023'";"'Phenylpropanoic acids'";
'Carboxylic acids and derivatives';Class;'Organic acids and derivatives';;;;;;;"'FOBI:040024'";"'Carboxylic acids and derivatives'";
'Cinnamic acids and derivatives';Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040025'";"'Cinnamic acids and derivatives'";
Pyrenes;Class;Benzenoids;;;;;;;"'FOBI:040026'";"'Pyrenes'";
Imidazopyrimidines;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040027'";"'Imidazopyrimidines'";
Stilbenes;Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040028'";"'Stilbenes'";
Benzoxazines;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040029'";"'Benzoxazines'";
Peptidomimetics;Class;'Organic acids and derivatives';;;;;;;"'FOBI:040030'";"'Peptidomimetics'";
Benzothiazoles;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040031'";"'Benzothiazoles'";
