"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"133","4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",NA,NA,NA
"137","genistein_7-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"149","genistein_7-glucuronide-4'-sulfate","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"162","citric_acid","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives",NA,NA,NA
"171","biochanin_a_7-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"173","apigenin","Phenylpropanoids and polyketides","Flavonoids","Flavones",NA,NA,NA
"179","guaiacol","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"187","1-methylpyrogallol","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"195","dihydroresveratrol_4'-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"197","maslinic_acid","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA
"200","oleanolic_acid","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA
"202","6-methoxy-benzoxazolin-2-one","Organoheterocyclic compounds","Benzoxazoles","Benzoxazolones",NA,NA,NA
"204","daidzein_7-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"208","vanillin","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"210","anserine","Organic acids and derivatives","Peptidomimetics","Hybrid peptides",NA,NA,NA
"216","2-hydroxy-7-methoxy-1,4-benzoxazin-3-one","Organoheterocyclic compounds","Benzoxazines","Benzoxazinones",NA,NA,NA
"224","genistein_4'-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"229","daidzein_diglucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"232","dihydroresveratrol_3-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"239","piceid_4'-sulfate","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"249","5-(3'-hydroxyphenyl)-γ-valerolactone","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA
"250","p-coumaric_acid_sulfate","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids",NA,NA,NA
"259","piceid_4'-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"265","umbelliferone_glucuronide","Phenylpropanoids and polyketides","Coumarins and derivatives","Coumarin glycosides",NA,NA,NA
"276","2-methylpyrogallol","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"280","l-tryptophan","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives",NA,NA,NA
"281","4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric_acid","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",NA,NA,NA
"283","homovanillic_acid","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"288","cis-resveratrol_3-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"289","trans-resveratrol_3-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"298","oleuropein","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",NA,NA,NA
"320","genistein_4'-glucuronide-7-sulfate","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"323","piceid_3-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"330","ascorbic_acid","Organoheterocyclic compounds","Dihydrofurans","Furanones",NA,NA,NA
"350","2-hydroxy-1,4-benzoxazin-3-one","Organoheterocyclic compounds","Benzoxazines","Benzoxazinones",NA,NA,NA
"353","kaempferol_3-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavones",NA,NA,NA
"368","gallic_acid_3-glucuronide","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins",NA,NA,NA
"373","syringic_acid_glucuronide","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins",NA,NA,NA
"374","allyl_methyl_sulfone","Organosulfur compounds","Sulfonyls","Sulfones",NA,NA,NA
"382","piceid_3-sulfate","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"385","equol_7-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"387","3-methylgallic_acid_4-glucuronide","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins",NA,NA,NA
"388","procyanidin_b2","Phenylpropanoids and polyketides","Flavonoids","Biflavonoids and polyflavonoids",NA,NA,NA
"389","homovanillyl_alcohol","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"395","4-hydroxyphenylacetic_acid","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA
