"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"175","isovanillic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Methoxybenzoic acids and derivatives","P-methoxybenzoic acids and derivatives",NA
"178","3,5-dihydroxybenzoic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"184","4-methylgallic_acid_3-sulfate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives",NA
"191","caffeic_acid_4-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"199","urolithin_b_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"209","epicatechin_5-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"214","4'-methylepicatechin_7-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"220","5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"225","3,4-dihydroxybenzoic_acid_4-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"233","lycopene","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Carotenes",NA
"235","β-carotene","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Carotenes",NA
"240","3'-methylepicatechin_4'-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides",NA
"241","3'-methylcatechin_4'-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides",NA
"243","dihydroisoferulic_acid_3-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"244","5-(3',4'-dihydroxyphenyl)-γ-valerolactone_4'-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"247","2-β-d-glucopyranosyloxy-4-hydroxy-1,4-benzoxazin-3-one","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA
"251","4'-methylepicatechin_3'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"253","2-methylpyrogallol_1-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"255","catechin","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"256","epicatechin","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"260","hesperetin_3'-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides",NA
"261","2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA
"266","4'-methylepicatechin_3'-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides",NA
"270","2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA
"273","pyrogallol_1-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"277","3'-methylepicatechin_4'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"282","urolithin_a_8-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"284","3-methylgallic_acid_4-sulfate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives",NA
"297","fructose","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds",NA
"300","3'-methylepicatechin_7-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"305","sulforaphane-glutathione","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides",NA
"306","epicatechin_7-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"307","5-(3',5'-dihydroxyphenyl)-γ-valerolactone_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"308","syringic_acid_sulfate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives",NA
"309","3,4-dihydroxyphenylacetic_acid_3-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"313","isoferulic_acid_3-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"314","rhamnitol","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","Hexoses",NA
"316","pyrogallol_2-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"317","p-coumaric_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"318","3,4-dihydroxyphenylacetic_acid_4-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"325","sinapic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"326","cyclo(l-leucyl-l-prolyl)","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives",NA
"327","ferulic_acid_4-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"328","vanillic_acid_sulfate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Methoxybenzoic acids and derivatives","M-methoxybenzoic acids and derivatives",NA
"332","4-methylgallic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives",NA
"333","β-alanine","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Beta amino acids and derivatives",NA
"337","3-hydroxyphenylacetic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"344","epicatechin_3'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"345","catechin_3'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"349","bergaptol_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"355","5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone_3'-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"356","isovanillic_acid_sulfate","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Methoxybenzoic acids and derivatives","P-methoxybenzoic acids and derivatives",NA
"362","3-(4-hydroxyphenyl)propionic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives",NA
"365","2,3-dihydroxybenzoic_acid_3-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"369","1-methylpyrogallol_2-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"370","vanillic_acid","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Methoxybenzoic acids and derivatives","M-methoxybenzoic acids and derivatives",NA
"372","3-carboxy-4-methyl-5-propyl-2-furanpropanoic_acid","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Heterocyclic fatty acids","Furanoid fatty acids",NA
"376","pyrogallol","Benzenoids","Phenols","Benzenetriols and derivatives","Pyrogallols and derivatives","5-unsubstituted pyrrogallols",NA
"377","glucose","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","Hexoses",NA
"378","2-β-d-glucopyranosyloxy-4-hydroxy-7-methoxy-1,4-benzoxazin-3-one","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA
"379","biochanin_a","Phenylpropanoids and polyketides","Isoflavonoids","O-methylated isoflavonoids","4'-O-methylated isoflavonoids","4'-O-methylisoflavones",NA
"391","cyclo(l-prolyl-l-valyl)","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives",NA
"394","m-coumaric_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"405","3-(3-hydroxyphenyl)propionic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"409","isoxanthohumol","Phenylpropanoids and polyketides","Flavonoids","Flavans","8-prenylated flavans","8-prenylated flavanones",NA
"410","epicatechin_4'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"411","catechin_4'-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"412","2,6-dihydroxybenzoic_acid_2-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"417","1-methylpyrogallol_3-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"419","3'-methylepicatechin_5-sulfate","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"422","4'-methylepicatechin","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins",NA
"430","naringenin_5-glucuronide","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides",NA
"431","2-aminophenol_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"433","3-hydroxybenzoic_acid_glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
"434","2,3-dihydroxybenzoic_acid_2-glucuronide","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA
